historical_ensembl_gene_id,source_record_count,source_families,source_objects,raw_symbols,possible_current_replacements,terminal_disposition,human_projection_policy_required
ENSG00000056678,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,KIFC1,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000069712,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,KIAA1107,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000096150,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,RPS18,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000096155,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,BAG6,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000096171,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,VARS,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000111971,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,LY6G5C,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000112459,2,NPH52,NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs,OR14J1,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000112461,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,OR5V1,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000112474,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,HSD17B8,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000112493,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,TAPBP,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000116883,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,RP11-268J15.5,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000116957,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,TBCE,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000130201,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,EXOC3L2,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000130489,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,SCO2,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000130723,8,NPH52|SEA_AD,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs|SEA_AD_COMMON,PRRC2B,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000133808,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,MICALCL,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000137197,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,CDSN,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000137313,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,TRIM26,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000137332,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,DDR1,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000137345,7,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,MOG,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
ENSG00000137384,6,NPH52,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,TRIM15,,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True
