canonical_ensembl_gene_id,canonical_symbol,delta_type,prior_measured_matrix_count,authoritative_measured_matrix_count,measurement_support_delta
ENSG00000000003,TSPAN6,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000000005,TNMD,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000000419,DPM1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000000457,SCYL3,UNCHANGED_EXACT_SUPPORT,18,18,0
ENSG00000000460,FIRRM,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000000938,FGR,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000000971,CFH,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001036,FUCA2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001084,GCLC,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001167,NFYA,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001460,STPG1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001461,NIPAL3,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001497,LAS1L,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001561,ENPP4,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001617,SEMA3F,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001626,CFTR,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001629,ANKIB1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001630,CYP51A1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000001631,KRIT1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002016,RAD52,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002330,BAD,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002549,LAP3,UNCHANGED_EXACT_SUPPORT,18,18,0
ENSG00000002586,CD99,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002587,HS3ST1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002726,AOC1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002745,WNT16,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002746,HECW1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002822,MAD1L1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002834,LASP1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002919,SNX11,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000002933,TMEM176A,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003056,M6PR,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003096,KLHL13,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003137,CYP26B1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003147,ICA1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003249,DBNDD1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003393,ALS2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003400,CASP10,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003402,CFLAR,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003436,TFPI,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003509,NDUFAF7,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003756,RBM5,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003987,MTMR7,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000003989,SLC7A2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004059,ARF5,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004139,SARM1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004142,POLDIP2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004399,PLXND1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004455,AK2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004468,CD38,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004478,FKBP4,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004487,KDM1A,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004534,RBM6,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004660,CAMKK1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004700,RECQL,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004766,VPS50,SUPPORT_RECOVERY_ONLY,35,42,7
ENSG00000004776,HSPB6,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004777,ARHGAP33,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004779,NDUFAB1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004799,PDK4,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004809,SLC22A16,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004838,ZMYND10,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004846,ABCB5,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004848,ARX,UNCHANGED_EXACT_SUPPORT,18,18,0
ENSG00000004864,SLC25A13,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004866,ST7,UNCHANGED_EXACT_SUPPORT,18,18,0
ENSG00000004897,CDC27,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004939,SLC4A1,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004948,CALCR,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004961,HCCS,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000004975,DVL2,UNCHANGED_EXACT_SUPPORT,42,42,0
ENSG00000005001,PRSS22,UNCHANGED_EXACT_SUPPORT,17,17,0
ENSG00000005007,UPF1,UNCHANGED_EXACT_SUPPORT,42,42,0
