dataset_id,matrix_id,modality,genome_assembly,annotation_release,feature_identifier_convention,versioned_unversioned_mixture,symbol_only,duplicate_raw_ids,suspicious_cross_species_ids,feature_metadata_access,audit_note,source_feature_count,feature_universe_sha256,universe_rows_materialized,raw_var_present,raw_var_feature_count,raw_var_matches_var,coordinate_like_peak_ids,invalid_peak_intervals,ordered_feature_identity_sha256,intended_project_role,foundation_eligible
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep1.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep1.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,True,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep1.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep2.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H18.06.006.MTG.4000.expand.rep3.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
