successor_gene_index,canonical_ensembl_gene_id,canonical_symbol,source_support_count,source_family_support,source_symbol_count,stable_canonical_identifier,mapping_authority,mapping_release_version,mapping_method,exactness_class,ambiguity_status,registry_semantic_hash
0,ENSG00000000003,TSPAN6,9,HVS|NPH52|SEA_AD,1,ENSG00000000003,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
1,ENSG00000000005,TNMD,9,HVS|NPH52|SEA_AD,1,ENSG00000000005,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
2,ENSG00000000419,DPM1,9,HVS|NPH52|SEA_AD,1,ENSG00000000419,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
3,ENSG00000000457,SCYL3,8,NPH52|SEA_AD,1,ENSG00000000457,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
4,ENSG00000000460,FIRRM,9,HVS|NPH52|SEA_AD,2,ENSG00000000460,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_SYMBOL_RELEASE_CONFLICT,symbol_release_conflict_identity_unambiguous,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
5,ENSG00000000938,FGR,9,HVS|NPH52|SEA_AD,1,ENSG00000000938,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
6,ENSG00000000971,CFH,9,HVS|NPH52|SEA_AD,1,ENSG00000000971,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
7,ENSG00000001036,FUCA2,9,HVS|NPH52|SEA_AD,1,ENSG00000001036,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
8,ENSG00000001084,GCLC,9,HVS|NPH52|SEA_AD,1,ENSG00000001084,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
9,ENSG00000001167,NFYA,9,HVS|NPH52|SEA_AD,1,ENSG00000001167,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
10,ENSG00000001460,STPG1,9,HVS|NPH52|SEA_AD,1,ENSG00000001460,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
11,ENSG00000001461,NIPAL3,9,HVS|NPH52|SEA_AD,1,ENSG00000001461,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
12,ENSG00000001497,LAS1L,9,HVS|NPH52|SEA_AD,1,ENSG00000001497,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
13,ENSG00000001561,ENPP4,9,HVS|NPH52|SEA_AD,1,ENSG00000001561,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
14,ENSG00000001617,SEMA3F,9,HVS|NPH52|SEA_AD,1,ENSG00000001617,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
15,ENSG00000001626,CFTR,9,HVS|NPH52|SEA_AD,1,ENSG00000001626,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
16,ENSG00000001629,ANKIB1,9,HVS|NPH52|SEA_AD,1,ENSG00000001629,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
17,ENSG00000001630,CYP51A1,9,HVS|NPH52|SEA_AD,1,ENSG00000001630,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
18,ENSG00000001631,KRIT1,9,HVS|NPH52|SEA_AD,1,ENSG00000001631,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
19,ENSG00000002016,RAD52,9,HVS|NPH52|SEA_AD,1,ENSG00000002016,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
20,ENSG00000002330,BAD,9,HVS|NPH52|SEA_AD,1,ENSG00000002330,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
21,ENSG00000002549,LAP3,8,NPH52|SEA_AD,1,ENSG00000002549,frozen_A2_source_provided_Ensembl_identity,source_specific_annotation_release_preserved_in_frozen_A2,exact_stable_Ensembl_identity; HVS_display_symbol_preferred_then_SEA_AD_then_NPH,EXACT_STABLE_ID_AND_SYMBOL,none,d9d8b08bcf8e88b73d2f5483b573767c49b47ff661da57b99c5b5aab828aa8a2
