a3_core_eligible,brain_regions,dataset_id,exact_donors,frozen4096_support_max,frozen4096_support_min,qualification_roles,quarantine_required,reason,reference_only,sample_count,supportive_eligible,technologies
false,"[""cortex""]",10x_Xenium_healthy_cortex_preview,0,0.0,0.0,"[""QUARANTINED_PENDING_GOVERNANCE""]",true,predeclared dataset class,false,1,false,"[""10x Xenium""]"
false,"[""approximately 100 adult human brain dissections""]",CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,4,0.999755859375,0.999755859375,"[""MOLECULAR_REFERENCE_ONLY""]",false,predeclared dataset class,true,4,false,"[""10x 3' v3 snRNA-seq""]"
false,"[""hypothalamus""]",CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,11,0.99951171875,0.99951171875,"[""MOLECULAR_REFERENCE_ONLY""]",false,predeclared dataset class,true,11,false,"[""10x 3' v3 snRNA-seq""]"
false,"[""hippocampus""]",CosMx_WTX_human_hippocampus,0,0.0,0.0,"[""QUARANTINED_PENDING_GOVERNANCE""]",true,predeclared dataset class,false,1,false,"[""CosMx SMI WTX""]"
false,"[""frontal cortex""]",CosMx_human_frontal_cortex_6K,0,0.0,0.0,"[""QUARANTINED_PENDING_GOVERNANCE""]",true,predeclared dataset class,false,1,false,"[""CosMx SMI""]"
false,"[""dentate gyrus / hippocampus""]",GSE248545,4,1.0,1.0,"[""MULTIDONOR_SPOT_CONTEXT""]",false,broad direct spot data from at least two exact donors,false,4,true,"[""10x Visium""]"
false,"[""hippocampus""]",GSE264624,10,1.0,1.0,"[""MOLECULAR_REFERENCE_ONLY""]",false,predeclared dataset class,true,26,false,"[""10x snRNA-seq""]"
false,"[""hippocampus""]",GSE264692,10,1.0,1.0,"[""MULTIDONOR_SPOT_CONTEXT""]",false,broad direct spot data from at least two exact donors,false,36,true,"[""10x Visium""]"
false,"[""hypothalamus""]",GSE278848,7,0.959716796875,0.959716796875,"[""MULTIDONOR_SPOT_CONTEXT""]",false,broad direct spot data from at least two exact donors,false,9,true,"[""10x Visium CytAssist v2""]"
false,"[""hypothalamus""]",GSE280316,8,1.0,1.0,"[""MULTIDONOR_SPOT_CONTEXT""]",false,broad direct spot data from at least two exact donors,false,10,true,"[""10x Visium""]"
false,"[""hypothalamus""]",GSE280460,8,0.011962890625,0.011962890625,"[""CELL_RESOLVED_MINIMAL_PANEL_CONTEXT""]",false,direct spatial panel supports fewer than 50 frozen genes,false,13,true,"[""10x Xenium""]"
false,"[""nucleus accumbens""]",GSE307586,10,1.0,1.0,"[""MULTIDONOR_SPOT_CONTEXT""]",false,broad direct spot data from at least two exact donors,false,38,true,"[""10x Visium""]"
false,"[""nucleus accumbens""]",GSE307587,10,1.0,1.0,"[""MOLECULAR_REFERENCE_ONLY""]",false,predeclared dataset class,true,20,false,"[""10x snRNA-seq""]"
false,"[""nucleus accumbens""]",GSE325489,4,0.01220703125,0.01220703125,"[""CELL_RESOLVED_TARGETED_CONTEXT""]",false,frozen targeted-panel gates pass,false,4,true,"[""10x Xenium""]"
false,"[""20 PFC/reference cortical regional categories""]",HPA_Zhong_PFC_RNA,0,0.987060546875,0.987060546875,"[""REGIONAL_REFERENCE_ONLY""]",false,predeclared dataset class,true,1,false,"[""bulk RNA-seq""]"
false,"[""frontal cortex and cerebellum""]",HPA_human_brain_StereoSeq,0,0.0,0.0,"[""ACCESS_TRACE_ONLY""]",false,predeclared dataset class,true,1,false,"[""Stereo-seq""]"
false,"[""193 anatomical brain subregions""]",HPA_regional_human_brain_RNA,0,0.987060546875,0.987060546875,"[""REGIONAL_REFERENCE_ONLY""]",false,predeclared dataset class,true,1,false,"[""bulk RNA-seq""]"
false,"[""prefrontal cortex""]",SCP2167,1,1.0,1.0,"[""QUARANTINED_PENDING_GOVERNANCE""]",true,molecular/geometry gates pass but pathology-blind provenance requires human review,false,1,false,"[""Slide-tags / snRNA-seq""]"
true,"[""MTG"", ""STG""]",doi:10.5061/dryad.x3ffbg7mw,4,0.23291015625,0.23291015625,"[""CORE_CELL_RESOLVED_HIGH_PLEX_CONTEXT"", ""QUARANTINED_PENDING_GOVERNANCE""]",true,all frozen high-plex same-entity gates pass; molecular/geometry gates pass but pathology-blind provenance requires human review,false,10,false,"[""MERFISH""]"
false,"[""DLPFC""]",spatialDLPFC,10,0.0,0.0,"[""UNRESOLVED""]",false,AUDIT_IMPLEMENTATION_EXCEPTION: acquired archive feature universe or direct coordinate pairing unresolved,false,30,false,"[""10x Visium and 10x snRNA-seq""]"
false,"[""DLPFC""]",spatialLIBD_classic_DLPFC,3,0.0,0.0,"[""UNRESOLVED""]",false,AUDIT_IMPLEMENTATION_EXCEPTION: acquired archive feature universe or direct coordinate pairing unresolved,false,12,false,"[""10x Visium""]"
