absolute_distance_units_supported,boundary_available,coordinate_class,coordinate_finite_fraction,dataset_id,duplicated_coordinate_fraction,physical_geometry,sample_id
false,false,NO_SPATIAL_COORDINATES,,10x_Xenium_healthy_cortex_preview,,false,dataset_level
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,false,donor_H18.30.001
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,false,donor_H18.30.002
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,false,donor_H19.30.001
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:283d65eb-dd53-496d-adb7-7570c7caa443,,false,donor_H19.30.002
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_1C41i
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_3u5kk
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_TweV8
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_buFpQ
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_eXCJJ
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_f5sVM
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_siletti_H18.30.002
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_siletti_H19.30.001
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_siletti_H19.30.002
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_tzan2
false,false,NO_SPATIAL_COORDINATES,,CELLxGENE:d0941303-7ce3-4422-9249-cf31eb98c480,,false,donor_znZv1
false,false,NO_SPATIAL_COORDINATES,,CosMx_WTX_human_hippocampus,,false,dataset_level
false,false,NO_SPATIAL_COORDINATES,,CosMx_human_frontal_cortex_6K,,false,dataset_level
false,false,GRID_SPOT_COORDINATES,,GSE248545,,true,GSM7916581
false,false,GRID_SPOT_COORDINATES,,GSE248545,,true,GSM7916582
false,false,GRID_SPOT_COORDINATES,,GSE248545,,true,GSM7916583
false,false,GRID_SPOT_COORDINATES,,GSE248545,,true,GSM7916584
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224155
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224156
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224157
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224158
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224159
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224160
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224161
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224162
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224163
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224164
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224165
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224166
false,false,NO_SPATIAL_COORDINATES,,GSE264624,,false,GSM8224167
