basis,matrix_id,dataset_id,n_cells,median_euclidean_distance,median_normalized_squared_distance,median_cosine_similarity,median_coordinate_correlation,top1_same_cell_retrieval,top5_same_cell_retrieval,same_cell_vs_mismatch_distance_separation
BALANCED_PCA160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,2048,8.088857650756836,0.146255224943161,0.9270285367965698,0.9271728992462158,0.94921875,1.0,0.22250965237617493
BALANCED_PCA160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,2048,6.4873247146606445,0.10228773206472397,0.9489771127700806,0.9491932392120361,0.96875,1.0,0.2906648814678192
BALANCED_PCA160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,455,5.864376544952393,0.09163805842399597,0.9544076919555664,0.9543516635894775,0.984375,1.0,0.2707303464412689
BALANCED_PCA160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,2048,8.034302711486816,0.1594121754169464,0.9207371473312378,0.9209675788879395,0.984375,1.0,0.30892637372016907
BALANCED_PCA160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,2048,6.8065314292907715,0.12945260107517242,0.9355297684669495,0.9355387687683105,0.98046875,1.0,0.37443581223487854
BALANCED_PCA160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,246,7.802149772644043,0.12879878282546997,0.9356902241706848,0.935833215713501,1.0,1.0,0.42426246404647827
BALANCED_PCA160,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,2048,9.75796127319336,0.2347479909658432,0.8832169771194458,0.8835827112197876,0.96875,1.0,0.3740468919277191
BALANCED_PCA160,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,2048,7.000032424926758,0.11969559639692307,0.9402502179145813,0.9399001598358154,0.98828125,1.0,0.30014580488204956
BALANCED_PCA160,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,2048,6.847777843475342,0.12181279063224792,0.9392223358154297,0.9393370151519775,0.98046875,0.99609375,0.3041839599609375
BALANCED_PCA160,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,1207,8.738492965698242,0.18126660585403442,0.9100910425186157,0.910188615322113,0.98046875,1.0,0.30898675322532654
BALANCED_PCA160,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,2048,12.887535095214844,0.15521171689033508,0.9225653409957886,0.9223371744155884,0.76953125,0.92578125,0.06902170181274414
BALANCED_PCA160,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,2048,6.302825927734375,0.11235589534044266,0.9439680576324463,0.9441244602203369,0.99609375,1.0,0.3306194543838501
BALANCED_PCA160,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,2048,9.964139938354492,0.22023403644561768,0.8904426097869873,0.8898968696594238,0.96484375,0.99609375,0.29173070192337036
BALANCED_PCA160,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,512,12.347375869750977,0.14828245341777802,0.9261884689331055,0.926133394241333,1.0,1.0,0.30060499906539917
BALANCED_PCA160,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,2048,7.650611877441406,0.1428757905960083,0.9287182688713074,0.9288384914398193,0.9609375,0.99609375,0.23245957493782043
BALANCED_PCA160,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,2048,12.389839172363281,0.22716659307479858,0.8867985010147095,0.887039065361023,0.82421875,0.953125,0.14700549840927124
BALANCED_PCA160,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,2048,10.626314163208008,0.12985044717788696,0.9353423118591309,0.9355664253234863,0.87890625,0.96875,0.13886165618896484
