factor,fixture,optimizer_step,r2,representation,seed
0,balanced_multifactor,0,0.5357078220451479,online_full_flattened,8114001
1,balanced_multifactor,0,0.5465645062375786,online_full_flattened,8114001
2,balanced_multifactor,0,0.5610973517526726,online_full_flattened,8114001
3,balanced_multifactor,0,0.5501385603001472,online_full_flattened,8114001
4,balanced_multifactor,0,0.4059873130042234,online_full_flattened,8114001
5,balanced_multifactor,0,0.5767104482446052,online_full_flattened,8114001
6,balanced_multifactor,0,0.6044234954777354,online_full_flattened,8114001
7,balanced_multifactor,0,0.6412501909230502,online_full_flattened,8114001
8,balanced_multifactor,0,0.508033283886537,online_full_flattened,8114001
9,balanced_multifactor,0,0.639842500437379,online_full_flattened,8114001
10,balanced_multifactor,0,0.5464083620833318,online_full_flattened,8114001
11,balanced_multifactor,0,0.5088266518795923,online_full_flattened,8114001
12,balanced_multifactor,0,0.62776998829447,online_full_flattened,8114001
13,balanced_multifactor,0,0.6300205295299444,online_full_flattened,8114001
14,balanced_multifactor,0,0.5535225685763101,online_full_flattened,8114001
15,balanced_multifactor,0,0.4207121831116143,online_full_flattened,8114001
16,balanced_multifactor,0,0.5986722704486391,online_full_flattened,8114001
17,balanced_multifactor,0,0.5691292489221873,online_full_flattened,8114001
18,balanced_multifactor,0,0.5393991815781213,online_full_flattened,8114001
19,balanced_multifactor,0,0.42083360778124557,online_full_flattened,8114001
20,balanced_multifactor,0,0.556676477299747,online_full_flattened,8114001
21,balanced_multifactor,0,0.5300452049493434,online_full_flattened,8114001
22,balanced_multifactor,0,0.5636905454933301,online_full_flattened,8114001
23,balanced_multifactor,0,0.552149686063585,online_full_flattened,8114001
24,balanced_multifactor,0,0.5477981061401487,online_full_flattened,8114001
25,balanced_multifactor,0,0.6248822323175658,online_full_flattened,8114001
26,balanced_multifactor,0,0.42182915686364464,online_full_flattened,8114001
27,balanced_multifactor,0,0.5031840617265652,online_full_flattened,8114001
28,balanced_multifactor,0,0.578199451826503,online_full_flattened,8114001
29,balanced_multifactor,0,0.5950073123528152,online_full_flattened,8114001
30,balanced_multifactor,0,0.6265562916255387,online_full_flattened,8114001
31,balanced_multifactor,0,0.5467200021130247,online_full_flattened,8114001
0,balanced_multifactor,0,0.4752031446834023,online_full_pca160,8114001
1,balanced_multifactor,0,0.5100565448110819,online_full_pca160,8114001
2,balanced_multifactor,0,0.5286263479199321,online_full_pca160,8114001
3,balanced_multifactor,0,0.5055934465399101,online_full_pca160,8114001
4,balanced_multifactor,0,0.4816512391196076,online_full_pca160,8114001
5,balanced_multifactor,0,0.6056576540478069,online_full_pca160,8114001
6,balanced_multifactor,0,0.5423015057706078,online_full_pca160,8114001
7,balanced_multifactor,0,0.6030570733659248,online_full_pca160,8114001
8,balanced_multifactor,0,0.5333121608482756,online_full_pca160,8114001
9,balanced_multifactor,0,0.5962859063274789,online_full_pca160,8114001
10,balanced_multifactor,0,0.48362879368257905,online_full_pca160,8114001
11,balanced_multifactor,0,0.5043286961707842,online_full_pca160,8114001
12,balanced_multifactor,0,0.5875246157243594,online_full_pca160,8114001
13,balanced_multifactor,0,0.5906272051348447,online_full_pca160,8114001
14,balanced_multifactor,0,0.49668742166357904,online_full_pca160,8114001
15,balanced_multifactor,0,0.45200427632523643,online_full_pca160,8114001
16,balanced_multifactor,0,0.6292210886507035,online_full_pca160,8114001
17,balanced_multifactor,0,0.5143962226185139,online_full_pca160,8114001
18,balanced_multifactor,0,0.458978018671509,online_full_pca160,8114001
19,balanced_multifactor,0,0.512086878943139,online_full_pca160,8114001
20,balanced_multifactor,0,0.5519235027326856,online_full_pca160,8114001
21,balanced_multifactor,0,0.47995172651428974,online_full_pca160,8114001
22,balanced_multifactor,0,0.5333335674090021,online_full_pca160,8114001
23,balanced_multifactor,0,0.5317625521908727,online_full_pca160,8114001
24,balanced_multifactor,0,0.5455224150471268,online_full_pca160,8114001
25,balanced_multifactor,0,0.5433390509675048,online_full_pca160,8114001
26,balanced_multifactor,0,0.4408610075605216,online_full_pca160,8114001
27,balanced_multifactor,0,0.513269986966758,online_full_pca160,8114001
28,balanced_multifactor,0,0.5386020995059129,online_full_pca160,8114001
29,balanced_multifactor,0,0.5627419235433435,online_full_pca160,8114001
30,balanced_multifactor,0,0.5828004003143894,online_full_pca160,8114001
31,balanced_multifactor,0,0.5830758071680684,online_full_pca160,8114001
0,balanced_multifactor,0,-0.07259978230789721,online_masked_flattened,8114001
1,balanced_multifactor,0,-0.1345549758086675,online_masked_flattened,8114001
2,balanced_multifactor,0,0.012040781434772385,online_masked_flattened,8114001
3,balanced_multifactor,0,-0.014391362844176747,online_masked_flattened,8114001
4,balanced_multifactor,0,-0.25707185409369737,online_masked_flattened,8114001
5,balanced_multifactor,0,0.10099616062382655,online_masked_flattened,8114001
6,balanced_multifactor,0,-0.12992351260812796,online_masked_flattened,8114001
7,balanced_multifactor,0,-0.09218724089190866,online_masked_flattened,8114001
8,balanced_multifactor,0,-0.12382064591208208,online_masked_flattened,8114001
9,balanced_multifactor,0,-0.10996967295630466,online_masked_flattened,8114001
10,balanced_multifactor,0,-0.05883457398439651,online_masked_flattened,8114001
11,balanced_multifactor,0,-0.2384389631926218,online_masked_flattened,8114001
12,balanced_multifactor,0,-0.003005328259561457,online_masked_flattened,8114001
13,balanced_multifactor,0,-0.07871944797196595,online_masked_flattened,8114001
14,balanced_multifactor,0,-0.24557753469443466,online_masked_flattened,8114001
15,balanced_multifactor,0,-0.05766736972156061,online_masked_flattened,8114001
16,balanced_multifactor,0,-0.1850979492265179,online_masked_flattened,8114001
17,balanced_multifactor,0,-0.005244792913968288,online_masked_flattened,8114001
18,balanced_multifactor,0,-0.10634099384997442,online_masked_flattened,8114001
19,balanced_multifactor,0,-0.13948599475226908,online_masked_flattened,8114001
20,balanced_multifactor,0,0.06803315202130733,online_masked_flattened,8114001
21,balanced_multifactor,0,-0.14650361176064863,online_masked_flattened,8114001
22,balanced_multifactor,0,-0.03814040788952666,online_masked_flattened,8114001
23,balanced_multifactor,0,-0.004680152686940886,online_masked_flattened,8114001
24,balanced_multifactor,0,-0.1385439572387337,online_masked_flattened,8114001
25,balanced_multifactor,0,0.052869793656462716,online_masked_flattened,8114001
26,balanced_multifactor,0,-0.26500655417523444,online_masked_flattened,8114001
27,balanced_multifactor,0,-0.16810761526705464,online_masked_flattened,8114001
28,balanced_multifactor,0,-0.0779054160258712,online_masked_flattened,8114001
29,balanced_multifactor,0,-0.008920948289200759,online_masked_flattened,8114001
30,balanced_multifactor,0,-0.13860644019321033,online_masked_flattened,8114001
31,balanced_multifactor,0,-0.07051889871914208,online_masked_flattened,8114001
0,balanced_multifactor,0,-0.3308787800980919,online_masked_pca160,8114001
1,balanced_multifactor,0,-0.9542682602087524,online_masked_pca160,8114001
2,balanced_multifactor,0,-0.5113046977734643,online_masked_pca160,8114001
3,balanced_multifactor,0,-0.21729232187601233,online_masked_pca160,8114001
4,balanced_multifactor,0,-0.4595713953226983,online_masked_pca160,8114001
5,balanced_multifactor,0,-0.4290237016140592,online_masked_pca160,8114001
6,balanced_multifactor,0,-0.2701432805347559,online_masked_pca160,8114001
7,balanced_multifactor,0,-0.19899821955145103,online_masked_pca160,8114001
8,balanced_multifactor,0,-0.3480956877801511,online_masked_pca160,8114001
9,balanced_multifactor,0,-0.25247531025781345,online_masked_pca160,8114001
10,balanced_multifactor,0,-0.4036347857212528,online_masked_pca160,8114001
11,balanced_multifactor,0,-0.4983182318998538,online_masked_pca160,8114001
12,balanced_multifactor,0,0.05960063503348667,online_masked_pca160,8114001
13,balanced_multifactor,0,-0.3466083798178141,online_masked_pca160,8114001
14,balanced_multifactor,0,-0.4030495051423111,online_masked_pca160,8114001
15,balanced_multifactor,0,-0.4541289299122804,online_masked_pca160,8114001
16,balanced_multifactor,0,-0.32219042586681756,online_masked_pca160,8114001
