matrix_id,dataset_id,raw_count_status,cells_checked,nonnegative_integer_pass,partition_accounting_pass,gene_identity_preserved,measurement_mask_preserved,interpretation
HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
NPH52_exact_source_objects,NPH52,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_mtg_rna_final_2026,sea_ad_mtg_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_stg_rna_final_2026,sea_ad_stg_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,RAW COUNT AVAILABLE,128,True,True,True,True,measurement-uncertainty mechanics support; not biological ground truth
