order,stage,representation,n_cells,dimensions,effective_rank,top_singular_l1_fraction,top_singular_energy_fraction,top_1_l1_contribution,top_5_l1_contribution,top_10_l1_contribution,top_1_energy_contribution,top_5_energy_contribution,top_10_energy_contribution,singular_values_first_10,cross_cell_std_mean,median_pairwise_distance,maximum_pairwise_distance,numerically_degenerate_identical_cells,embedding_norm
0,identity_contribution_before_fusion_mean,token_mean,502,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.463771131555603e-10,0.0,6.430342125440802e-08,True,"{'minimum': 1.0672298669815063, 'p05': 1.0672298669815063, 'median': 1.0672298669815063, 'p95': 1.0672298669815063, 'maximum': 1.0672298669815063}"
1,expression_value_contribution_before_fusion_mean,token_mean,502,160,1.8522214889526367,0.8164579272270203,0.9648665189743042,0.8164579272270203,0.9929179549217224,0.9942999482154846,0.9648665189743042,0.9999988675117493,0.999999463558197,"[5.750823020935059, 1.089523196220398, 0.12930817902088165, 0.02023189142346382, 0.0038547543808817863, 0.0029529505409300327, 0.002344145905226469, 0.001797064091078937, 0.0014346789103001356, 0.0012052685488015413]",0.01685779169201851,0.24434149265289307,1.3782192468643188,False,"{'minimum': 2.5487051010131836, 'p05': 2.6777932405471803, 'median': 2.7956595420837402, 'p95': 2.8805384635925293, 'maximum': 2.928330421447754}"
2,token_fused_before_layernorm_mean,token_mean,502,160,1.870039939880371,0.815670907497406,0.9648678302764893,0.815670907497406,0.99195396900177,0.9933387637138367,0.9648678302764893,0.9999987483024597,0.9999993443489075,"[5.750559329986572, 1.0894522666931152, 0.1292889416217804, 0.020216282457113266, 0.0038546142168343067, 0.002949976362287998, 0.002342459512874484, 0.0018091184319928288, 0.0014527835883200169, 0.0012091543758288026]",0.016856927424669266,0.24432995915412903,1.3781682252883911,False,"{'minimum': 2.7560391426086426, 'p05': 2.859863579273224, 'median': 2.958617091178894, 'p95': 3.0339051604270937, 'maximum': 3.076545000076294}"
3,token_after_layernorm_mean,token_mean,502,160,3.2184062004089355,0.7690914869308472,0.9787890315055847,0.7690914869308472,0.904242992401123,0.921930193901062,0.9787890315055847,0.9996666312217712,0.9997722506523132,"[9.6333589553833, 1.392957091331482, 0.17787060141563416, 0.0660138949751854, 0.05601714551448822, 0.054405637085437775, 0.048163872212171555, 0.043264489620923996, 0.038962651044130325, 0.03674798458814621]",0.027748290449380875,0.4020051062107086,2.175596237182617,False,"{'minimum': 4.450387001037598, 'p05': 4.5019642353057865, 'median': 4.631607532501221, 'p95': 4.764883327484131, 'maximum': 4.827004909515381}"
4,learned_queries_before_cell,slot_mean,502,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True,"{'minimum': 0.050833120942115784, 'p05': 0.050833120942115784, 'median': 0.050833120942115784, 'p95': 0.050833120942115784, 'maximum': 0.050833120942115784}"
5,cross_attention_before_output_layernorm,slot_mean,502,160,2.9022629261016846,0.7938296794891357,0.9844042658805847,0.7938296794891357,0.9161298274993896,0.9340487718582153,0.9844042658805847,0.9997278451919556,0.9998293519020081,"[4.196814060211182, 0.5161052942276001, 0.08120064437389374, 0.025627732276916504, 0.023642465472221375, 0.022151809185743332, 0.0200966726988554, 0.0186891071498394, 0.017342496663331985, 0.016453567892313004]",0.012246356345713139,0.17427855730056763,0.9368099570274353,False,"{'minimum': 2.0629630088806152, 'p05': 2.075421154499054, 'median': 2.0964274406433105, 'p95': 2.133500373363495, 'maximum': 2.1530280113220215}"
6,cross_attention_after_output_layernorm,slot_mean,502,160,3.216496229171753,0.7661481499671936,0.9816458225250244,0.7661481499671936,0.9161603450775146,0.9347097873687744,0.9816458225250244,0.9997043609619141,0.9998208284378052,"[24.972564697265625, 3.1129539012908936, 1.280515432357788, 0.34574684500694275, 0.15042570233345032, 0.13935860991477966, 0.13275249302387238, 0.11725243180990219, 0.11178842931985855, 0.10346599668264389]",0.07319328188896179,1.032185673713684,5.5509185791015625,False,"{'minimum': 12.554631233215332, 'p05': 12.55571174621582, 'median': 12.557738780975342, 'p95': 12.561017608642578, 'maximum': 12.56261920928955}"
7,block1_attention_prenorm,slot_mean,502,160,3.2166085243225098,0.7661357522010803,0.9816436767578125,0.7661357522010803,0.9161610007286072,0.9347103238105774,0.9816436767578125,0.9997043013572693,0.9998207092285156,"[24.976720809936523, 3.1135177612304688, 1.2811635732650757, 0.3458229601383209, 0.15045268833637238, 0.13938313722610474, 0.1327761858701706, 0.11727266758680344, 0.11180765926837921, 0.10348372161388397]",0.07320627570152283,1.032365083694458,5.551877498626709,False,"{'minimum': 12.55692195892334, 'p05': 12.557974815368652, 'median': 12.559951782226562, 'p95': 12.56314811706543, 'maximum': 12.56471061706543}"
8,block1_after_attention_residual,slot_mean,502,160,3.261274814605713,0.7605570554733276,0.9795681834220886,0.7605570554733276,0.9165768027305603,0.9349111318588257,0.9795681834220886,0.9997068047523499,0.999822199344635,"[26.762222290039062, 3.5480270385742188, 1.4032740592956543, 0.3735557496547699, 0.16511256992816925, 0.14982008934020996, 0.14330412447452545, 0.1257902979850769, 0.11549275368452072, 0.11074227094650269]",0.07854198664426804,1.105376124382019,6.001652717590332,False,"{'minimum': 13.943084716796875, 'p05': 13.996100568771363, 'median': 14.012526512145996, 'p95': 14.027608823776244, 'maximum': 14.03518009185791}"
9,block1_ffn_prenorm,slot_mean,502,160,3.241467237472534,0.7632797360420227,0.9803743362426758,0.7632797360420227,0.9163477420806885,0.9347371459007263,0.9803743362426758,0.9997068047523499,0.9998222589492798,"[24.036121368408203, 3.131241798400879, 1.2057640552520752, 0.33477264642715454, 0.14841961860656738, 0.13469155132770538, 0.12857471406459808, 0.11281665414571762, 0.10367561131715775, 0.09933750331401825]",0.07055388391017914,0.9916770458221436,5.399785995483398,False,"{'minimum': 12.574629783630371, 'p05': 12.575673723220826, 'median': 12.577443599700928, 'p95': 12.579863786697388, 'maximum': 12.58116340637207}"
10,after_latent_block_1,slot_mean,502,160,3.2530646324157715,0.7621017098426819,0.9800424575805664,0.7621017098426819,0.9168412089347839,0.9349278807640076,0.9800424575805664,0.999715268611908,0.9998270273208618,"[27.549461364746094, 3.603200674057007, 1.4417117834091187, 0.3816043436527252, 0.16721075773239136, 0.1514936238527298, 0.14259660243988037, 0.12862075865268707, 0.11721286177635193, 0.11389949917793274]",0.08025889843702316,1.1373220682144165,6.164432525634766,False,"{'minimum': 13.981300354003906, 'p05': 13.99283151626587, 'median': 14.021669387817383, 'p95': 14.052165937423705, 'maximum': 14.062649726867676}"
