stratum_type,stratum_key,mask_fraction,n_mask_evaluations,n_unique_cells,visible_measured_genes_p05,visible_measured_genes_p25,visible_measured_genes_p50,visible_measured_genes_p75,visible_measured_genes_p95,visible_detected_genes_p05,visible_detected_genes_p25,visible_detected_genes_p50,visible_detected_genes_p75,visible_detected_genes_p95,fraction_detected_genes_retained_p05,fraction_detected_genes_retained_p25,fraction_detected_genes_retained_p50,fraction_detected_genes_retained_p75,fraction_detected_genes_retained_p95,fraction_transformed_signal_retained_p05,fraction_transformed_signal_retained_p25,fraction_transformed_signal_retained_p50,fraction_transformed_signal_retained_p75,fraction_transformed_signal_retained_p95,fraction_raw_vocab_count_mass_retained_p05,fraction_raw_vocab_count_mass_retained_p25,fraction_raw_vocab_count_mass_retained_p50,fraction_raw_vocab_count_mass_retained_p75,fraction_raw_vocab_count_mass_retained_p95,fraction_cells_below_100_visible_detected,fraction_cells_below_250_visible_detected,fraction_cells_below_500_visible_detected
source,HVS,0.15,8451,2817,3482.0,3482.0,3482.0,3482.0,3482.0,818.5,1598.0,2191.0,2642.5,3049.0,0.8412219430795538,0.8472818123256834,0.8500787401574803,0.8529600050148397,0.8589650070207133,0.8390004081816593,0.8457848966315102,0.8501931167046016,0.8544309135379903,0.861228384861368,0.759464584585761,0.8446033455483988,0.8605215281989085,0.8724797277029981,0.8882949914177385,0.0,0.0,0.0014199503017394391
source,HVS,0.25,8451,2817,3072.0,3072.0,3072.0,3072.0,3072.0,717.0,1411.0,1933.0,2331.0,2690.0,0.739459101160121,0.7465640591043994,0.7499109369433559,0.753426614481409,0.7609328141211891,0.7367082775401914,0.7447804370357891,0.7501293856178,0.7554527023953881,0.7636925069374374,0.6476002559361052,0.7324025919928274,0.7631627857579056,0.781742878949605,0.8057931676257295,0.0,0.0,0.007809726659566915
source,HVS,0.4,8451,2817,2458.0,2458.0,2458.0,2458.0,2458.0,574.0,1125.0,1547.0,1866.0,2152.0,0.5879537229111103,0.5962521943354321,0.6,0.6038322537855075,0.6123067158043404,0.5847336585600758,0.5942224894093868,0.6000063013211244,0.6059263798549879,0.6156175727751192,0.5022103841342245,0.5616227076627405,0.6096932413334442,0.6397497177014352,0.6771442484557588,0.0,0.0,0.02875399361022364
source,HVS,0.5,8451,2817,2048.0,2048.0,2048.0,2048.0,2048.0,480.5,935.0,1288.0,1555.0,1796.0,0.4879718088661389,0.49592611723752666,0.49984917043740573,0.5037969030025837,0.512254325866987,0.4843571411764213,0.49378347119473814,0.49985366025253614,0.5058280849158131,0.5155623544045465,0.41092513274066894,0.45836387284067714,0.5006080875646093,0.541776030857129,0.5885988605190968,0.0,0.0,0.058572949946751864
source,HVS,0.6,8451,2817,1639.0,1639.0,1639.0,1639.0,1639.0,384.0,749.0,1030.0,1245.0,1437.0,0.3880597014925373,0.39622641509433965,0.4,0.40384335623643164,0.41205041740668,0.38462531419758256,0.3941375349737455,0.3999005069678463,0.40603405917030055,0.41528977388104865,0.32272302678458575,0.3600808784714343,0.39056132509530694,0.4381838012661997,0.4977569828524335,0.0,0.003668204946160218,0.10732457697313927
source,HVS,0.7,8451,2817,1229.0,1229.0,1229.0,1229.0,1229.0,286.0,562.0,774.0,932.5,1077.0,0.28853339218316154,0.2962962962962963,0.2998972954467648,0.30346776467833847,0.3114743576385271,0.285345084886536,0.29429762792312086,0.2998349639816306,0.30557269038981694,0.3140041497417149,0.2365605932271749,0.26480726254045406,0.2868942731277533,0.3268526638927879,0.39983768084861804,0.0,0.028635664418412022,0.19654478759910068
source,NPH52,0.15,738,246,3482.0,3482.0,3482.0,3482.0,3482.0,549.95,1060.75,1616.0,2197.75,3125.15,0.8377274192130783,0.8464308821670197,0.8498173452482778,0.8535037572735528,0.8610897719667884,0.8359494141808697,0.8450110413889812,0.8500208289955352,0.8552166169465876,0.8630557731581228,0.7917393243365458,0.8407495802335756,0.8550109070322116,0.8661195775119844,0.8812621270313471,0.0,0.0,0.03523035230352303
source,NPH52,0.25,738,246,3072.0,3072.0,3072.0,3072.0,3072.0,480.85,938.0,1428.0,1939.75,2758.3,0.73584633788266,0.7457573163362206,0.7498715688736863,0.7543956114626743,0.7630332422476505,0.734220878892446,0.7446274257175096,0.7502842673977268,0.7561425015261005,0.7655353816825783,0.6880003797389954,0.731666468279913,0.756226352108428,0.7742237965013528,0.7940198606265507,0.0,0.0,0.06097560975609756
source,NPH52,0.4,738,246,2458.0,2458.0,2458.0,2458.0,2458.0,384.85,753.5,1145.5,1551.25,2204.15,0.5862225098175252,0.5955173668728752,0.5999737670514166,0.605273171513258,0.6157486836331725,0.5840462612922588,0.59396179695691,0.6008905163144777,0.60723593979473,0.6166184863394714,0.5384349425510883,0.5754952984101259,0.6006014480810781,0.627551068442356,0.657616357576006,0.0,0.009485094850948509,0.0948509485094851
source,NPH52,0.5,738,246,2048.0,2048.0,2048.0,2048.0,2048.0,316.85,636.5,956.5,1294.5,1837.15,0.48463660326611774,0.49537912848164867,0.5,0.5054859337230632,0.5164870273496472,0.48275738989312306,0.4937987725171955,0.5007676649259383,0.5068728102839686,0.5175365297472567,0.43828512097945177,0.4709944642669745,0.4986502489747136,0.5257512388451528,0.5621453392061028,0.0,0.024390243902439025,0.12466124661246612
