descriptor,classification
gene_identity,REQUIRED BIOLOGY-STREAM INPUT
normalized_expression,REQUIRED BIOLOGY-STREAM INPUT
measurement_mask,REQUIRED MEASUREMENT-STREAM INPUT
assay_type,REQUIRED MEASUREMENT-STREAM INPUT
technology_family,REQUIRED MEASUREMENT-STREAM INPUT
sc_vs_sn,REQUIRED MEASUREMENT-STREAM INPUT
platform_or_chemistry,REQUIRED MEASUREMENT-STREAM INPUT
absolute_library_size,PROVENANCE ONLY
relative_library_depth,PROVENANCE ONLY
detected_genes,PROVENANCE ONLY
relative_detected_genes,PROVENANCE ONLY
zero_fraction,PROVENANCE ONLY
relative_zero_fraction,PROVENANCE ONLY
tissue,POTENTIAL CONTEXT INPUT - NEEDS CONTROL
region,POTENTIAL CONTEXT INPUT - NEEDS CONTROL
dataset_id,PROVENANCE ONLY
matrix_id,PROVENANCE ONLY
donor_id,PROVENANCE ONLY
sample_id,PROVENANCE ONLY
specimen_id,PROVENANCE ONLY
