annotation,broad_family,representation,n_evaluated_cells,same_class_knn_purity,cross_donor_same_class_knn_purity,donor_heldout_recall,donor_heldout_precision,donor_heldout_f1,centroid_separation,within_class_dispersion,between_within_ratio,production_frozen_basis,ledger_gene_tokens_used,learned_pooling_used,paired_representation_sample,rare_cells_per_class_cap,reference_cell_cap
Astro,Astro,RNA4096,32,0.925,0.9229166666666667,1.0,0.5614035087719298,0.7191011235955056,0.10081768035888672,0.17334909737110138,0.5815875703295921,NOT_APPLICABLE,,,True,32,128
Astro,Astro,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.9541666666666666,0.95625,1.0,0.5614035087719298,0.7191011235955056,0.0017988085746765137,0.005063286051154137,0.3552650505034155,NOT_APPLICABLE,4096,False,True,32,128
Astro,Astro,BALANCED_PCA160,32,0.8916666666666666,0.8833333333333333,1.0,0.7272727272727273,0.8421052631578947,0.22299563884735107,0.1040867492556572,2.1424017989036304,NOT_APPLICABLE,,,True,32,128
Astro,Astro,BALANCED_REP160_DIAGNOSTIC,32,0.86875,0.8520833333333334,1.0,0.7441860465116279,0.8533333333333334,0.21948087215423584,0.09827587008476257,2.2333139555511887,False,,,True,32,128
CN LAMP5-CXCL14 GABASubclass,CN LAMP5-CXCL14 GABASubclass,RNA4096,4,0.1,0.1,0.0,0.0,0.0,0.09073811769485474,0.13295625150203705,0.682465974106261,NOT_APPLICABLE,,,True,32,128
CN LAMP5-CXCL14 GABASubclass,CN LAMP5-CXCL14 GABASubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,4,0.1,0.1,0.0,0.0,0.0,0.0022839903831481934,0.00462794303894043,0.493521714491783,NOT_APPLICABLE,4096,False,True,32,128
CN LAMP5-CXCL14 GABASubclass,CN LAMP5-CXCL14 GABASubclass,BALANCED_PCA160,4,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.3473295569419861,0.15989752113819122,2.172201010182059,NOT_APPLICABLE,,,True,32,128
CN LAMP5-CXCL14 GABASubclass,CN LAMP5-CXCL14 GABASubclass,BALANCED_REP160_DIAGNOSTIC,4,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.34839195013046265,0.16790777444839478,2.0749006487340367,False,,,True,32,128
CN ST18 GABASubclass,CN ST18 GABASubclass,RNA4096,32,0.7479166666666667,0.75,1.0,0.5245901639344263,0.6881720430107527,0.04338163137435913,0.13633760809898376,0.3181926981061837,NOT_APPLICABLE,,,True,32,128
CN ST18 GABASubclass,CN ST18 GABASubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.6229166666666666,0.625,1.0,0.5818181818181818,0.735632183908046,0.0011130571365356445,0.004631293937563896,0.2403339437187878,NOT_APPLICABLE,4096,False,True,32,128
CN ST18 GABASubclass,CN ST18 GABASubclass,BALANCED_PCA160,32,0.8916666666666666,0.89375,0.9375,0.625,0.75,0.2679029703140259,0.22291299700737,1.2018275018085574,NOT_APPLICABLE,,,True,32,128
CN ST18 GABASubclass,CN ST18 GABASubclass,BALANCED_REP160_DIAGNOSTIC,32,0.8729166666666668,0.875,0.9375,0.6666666666666666,0.7792207792207793,0.3176453113555908,0.25087714195251465,1.2661389111954802,False,,,True,32,128
Endo,Endo,RNA4096,32,0.6666666666666667,0.6583333333333333,0.84375,0.9642857142857143,0.9,0.22589445114135742,0.3234054446220398,0.6984868526420687,NOT_APPLICABLE,,,True,32,128
Endo,Endo,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.6604166666666667,0.6541666666666667,0.875,0.875,0.875,0.0026093125343322754,0.00733836367726326,0.35557143923199264,NOT_APPLICABLE,4096,False,True,32,128
Endo,Endo,BALANCED_PCA160,32,0.9395833333333334,0.9375,1.0,0.8421052631578947,0.9142857142857143,0.39834022521972656,0.18264243006706238,2.1809840411861834,NOT_APPLICABLE,,,True,32,128
Endo,Endo,BALANCED_REP160_DIAGNOSTIC,32,0.9437500000000001,0.9416666666666667,1.0,0.8421052631578947,0.9142857142857143,0.39780962467193604,0.15992186963558197,2.487524849343213,False,,,True,32,128
EpendymalSubclass,EpendymalSubclass,RNA4096,10,0.3133333333333333,0.3133333333333333,0.2,1.0,0.3333333333333333,0.15929514169692993,0.18218792974948883,0.8743451990258804,NOT_APPLICABLE,,,True,32,128
EpendymalSubclass,EpendymalSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,10,0.29333333333333333,0.29333333333333333,0.1,1.0,0.18181818181818182,0.002649068832397461,0.005221331026405096,0.5073550822578958,NOT_APPLICABLE,4096,False,True,32,128
EpendymalSubclass,EpendymalSubclass,BALANCED_PCA160,10,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,0.2810884714126587,0.10432115942239761,2.6944531001091363,NOT_APPLICABLE,,,True,32,128
EpendymalSubclass,EpendymalSubclass,BALANCED_REP160_DIAGNOSTIC,10,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,0.2884542942047119,0.10409178584814072,2.771153284136534,False,,,True,32,128
Microglia-PVMSubclass,Microglia-PVMSubclass,RNA4096,32,0.7354166666666666,0.7395833333333333,0.84375,0.8709677419354839,0.8571428571428571,0.1733393669128418,0.2358904927968979,0.7348298138581079,NOT_APPLICABLE,,,True,32,128
Microglia-PVMSubclass,Microglia-PVMSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.7270833333333333,0.7270833333333333,0.84375,0.8709677419354839,0.8571428571428571,0.0025451183319091797,0.006656775251030922,0.3823350249830084,NOT_APPLICABLE,4096,False,True,32,128
Microglia-PVMSubclass,Microglia-PVMSubclass,BALANCED_PCA160,32,0.81875,0.81875,0.90625,0.8787878787878788,0.8923076923076924,0.39834022521972656,0.12755954265594482,3.1227787190656113,NOT_APPLICABLE,,,True,32,128
Microglia-PVMSubclass,Microglia-PVMSubclass,BALANCED_REP160_DIAGNOSTIC,32,0.8125,0.8125,0.90625,0.8787878787878788,0.8923076923076924,0.39780962467193604,0.1314227133989334,3.026947278621357,False,,,True,32,128
OPC,OPC,RNA4096,32,0.46458333333333335,0.45625000000000004,0.625,0.8695652173913043,0.7272727272727273,0.03148484230041504,0.1783508062362671,0.17653322104250008,NOT_APPLICABLE,,,True,32,128
OPC,OPC,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.43333333333333335,0.42291666666666666,0.5,0.8421052631578947,0.6274509803921569,0.0007152557373046875,0.005855191498994827,0.12215753104360069,NOT_APPLICABLE,4096,False,True,32,128
OPC,OPC,BALANCED_PCA160,32,0.6770833333333334,0.6645833333333333,0.8125,0.9285714285714286,0.8666666666666667,0.06938523054122925,0.14749020338058472,0.4704395881954758,NOT_APPLICABLE,,,True,32,128
OPC,OPC,BALANCED_REP160_DIAGNOSTIC,32,0.5375000000000001,0.5208333333333334,0.53125,0.7083333333333334,0.6071428571428571,0.04770684242248535,0.14727358520030975,0.32393346272923496,False,,,True,32,128
OPCSubclass,OPCSubclass,RNA4096,32,0.6625,0.6583333333333332,1.0,0.5925925925925926,0.7441860465116279,0.03148484230041504,0.1757456362247467,0.17915006583805956,NOT_APPLICABLE,,,True,32,128
OPCSubclass,OPCSubclass,MOLECULAR_LEDGER_ALL_4096_TOKENS,32,0.5812499999999999,0.5708333333333333,1.0,0.5714285714285714,0.7272727272727273,0.0007152557373046875,0.005776176229119301,0.12382858640961916,NOT_APPLICABLE,4096,False,True,32,128
