annotation,broad_family,targeted_audit_cell_count,targeted_audit_donor_count,usable_donor_heldout_folds,identifiability_strength,cells_per_donor,dataset_breadth,matrix_breadth,technology_breadth,region_breadth,full_train_cell_count,full_train_donor_count,prrc_audit_cell_count,prrc_audit_donor_count,prrc_original_result,decision,critical_compression_flag,pca_vs_ledger_purity_delta,pca_vs_ledger_donor_heldout_recall_delta,rep_vs_ledger_purity_delta,rep_vs_ledger_donor_heldout_recall_delta,pca_neighbor_retention_ratio,rep_neighbor_retention_ratio,conclusion_stability
Astro,Astrocytes,256,18,7,ROBUSTLY IDENTIFIABLE,"{""human_NPH_1025"": 14, ""human_NPH_1031"": 14, ""human_NPH_1055"": 14, ""human_NPH_1069"": 14, ""human_NPH_1075"": 14, ""human_NPH_873"": 14, ""human_NPH_878"": 15, ""human_NPH_881"": 15, ""human_NPH_884"": 15, ""human_NPH_896"": 14, ""human_NPH_898"": 14, ""human_NPH_907"": 14, ""human_NPH_909"": 14, ""human_NPH_910"": 14, ""human_NPH_916"": 15, ""human_NPH_923"": 14, ""human_NPH_944"": 14, ""human_NPH_976"": 14}",1,1,1,1,20942,18,32,18,ADEQUATE,ADEQUATELY PRESERVED,False,-0.002083333333333326,0.0,-0.0033854166666666963,0.0,0.9979166666666667,0.9966145833333333,STABLE
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,256,37,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 7, ""H20.33.001"": 7, ""H20.33.005"": 7, ""H20.33.008"": 6, ""H20.33.011"": 7, ""H20.33.012"": 7, ""H20.33.013"": 7, ""H20.33.015"": 7, ""H20.33.016"": 7, ""H20.33.017"": 7, ""H20.33.018"": 7, ""H20.33.019"": 7, ""H20.33.020"": 7, ""H20.33.026"": 7, ""H20.33.027"": 7, ""H20.33.028"": 7, ""H20.33.029"": 8, ""H20.33.031"": 7, ""H20.33.033"": 7, ""H20.33.035"": 7, ""H20.33.036"": 7, ""H20.33.037"": 7, ""H20.33.039"": 7, ""H20.33.040"": 7, ""H21.33.001"": 3, ""H21.33.002"": 8, ""H21.33.004"": 7, ""H21.33.013"": 7, ""H21.33.018"": 7, ""H21.33.019"": 7, ""H21.33.026"": 7, ""H21.33.028"": 7, ""H21.33.032"": 7, ""H21.33.033"": 7, ""H21.33.035"": 7, ""H21.33.036"": 7, ""H21.33.039"": 7}",1,1,1,1,1127,37,4,4,NOT IDENTIFIABLE,ADEQUATELY PRESERVED,False,-0.002343749999999978,0.00390625,-0.0015625000000000222,0.00390625,0.9976371751115779,0.9984247834077186,STABLE
CN ST18 GABASubclass,Inhibitory neurons,256,37,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 7, ""H20.33.001"": 7, ""H20.33.005"": 7, ""H20.33.008"": 7, ""H20.33.011"": 6, ""H20.33.012"": 7, ""H20.33.013"": 7, ""H20.33.015"": 7, ""H20.33.016"": 7, ""H20.33.017"": 6, ""H20.33.018"": 7, ""H20.33.019"": 7, ""H20.33.020"": 7, ""H20.33.026"": 7, ""H20.33.027"": 7, ""H20.33.028"": 7, ""H20.33.029"": 7, ""H20.33.031"": 7, ""H20.33.033"": 7, ""H20.33.035"": 7, ""H20.33.036"": 7, ""H20.33.037"": 7, ""H20.33.039"": 7, ""H20.33.040"": 7, ""H21.33.001"": 7, ""H21.33.002"": 7, ""H21.33.004"": 7, ""H21.33.013"": 7, ""H21.33.018"": 7, ""H21.33.019"": 7, ""H21.33.026"": 7, ""H21.33.028"": 7, ""H21.33.032"": 7, ""H21.33.033"": 7, ""H21.33.035"": 7, ""H21.33.036"": 7, ""H21.33.039"": 6}",1,1,1,1,41925,37,32,32,ADEQUATE,ADEQUATELY PRESERVED,False,-0.005989583333333215,-0.00390625,-0.007812499999999889,-0.0078125,0.9939979123173279,0.9921711899791232,STABLE
Endo,Endothelial / vascular,256,19,7,ROBUSTLY IDENTIFIABLE,"{""human_NPH_1025"": 13, ""human_NPH_1031"": 13, ""human_NPH_1055"": 13, ""human_NPH_1069"": 14, ""human_NPH_1075"": 13, ""human_NPH_873"": 13, ""human_NPH_878"": 14, ""human_NPH_881"": 14, ""human_NPH_884"": 14, ""human_NPH_896"": 13, ""human_NPH_898"": 13, ""human_NPH_906"": 14, ""human_NPH_907"": 14, ""human_NPH_909"": 14, ""human_NPH_910"": 13, ""human_NPH_916"": 14, ""human_NPH_923"": 14, ""human_NPH_944"": 13, ""human_NPH_976"": 13}",1,1,1,1,5499,19,32,19,ADEQUATE,ADEQUATELY PRESERVED,False,0.001822916666666785,0.0,0.0013020833333334814,0.0,1.0018267223382047,1.0013048016701462,STABLE
EpendymalSubclass,Ependymal,256,34,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 9, ""H20.33.001"": 9, ""H20.33.005"": 9, ""H20.33.008"": 2, ""H20.33.011"": 8, ""H20.33.012"": 5, ""H20.33.013"": 9, ""H20.33.015"": 8, ""H20.33.016"": 9, ""H20.33.017"": 8, ""H20.33.018"": 9, ""H20.33.019"": 9, ""H20.33.020"": 9, ""H20.33.026"": 8, ""H20.33.027"": 9, ""H20.33.028"": 9, ""H20.33.029"": 9, ""H20.33.031"": 9, ""H20.33.033"": 9, ""H20.33.035"": 9, ""H20.33.036"": 9, ""H20.33.037"": 4, ""H20.33.039"": 9, ""H20.33.040"": 9, ""H21.33.001"": 9, ""H21.33.002"": 9, ""H21.33.013"": 3, ""H21.33.018"": 2, ""H21.33.026"": 1, ""H21.33.028"": 9, ""H21.33.032"": 9, ""H21.33.033"": 2, ""H21.33.036"": 8, ""H21.33.039"": 8}",1,1,1,1,4085,34,10,10,NOT IDENTIFIABLE,ADEQUATELY PRESERVED,False,0.009374999999999911,0.00390625,0.008854166666666607,0.00390625,1.0095642933049946,1.0090329436769394,STABLE
LSXSubclass,Other authorized families,160,20,7,ROBUSTLY IDENTIFIABLE,"{""H20.33.012"": 1, ""H20.33.015"": 5, ""H20.33.016"": 2, ""H20.33.017"": 1, ""H20.33.018"": 30, ""H20.33.019"": 5, ""H20.33.020"": 2, ""H20.33.026"": 6, ""H20.33.028"": 1, ""H20.33.031"": 2, ""H20.33.033"": 1, ""H20.33.035"": 6, ""H20.33.036"": 6, ""H20.33.037"": 1, ""H20.33.040"": 2, ""H21.33.002"": 3, ""H21.33.026"": 2, ""H21.33.032"": 80, ""H21.33.036"": 2, ""H21.33.039"": 2}",1,1,1,1,160,20,0,0,NOT TESTED,ADEQUATELY PRESERVED,False,0.01416666666666655,0.03125,0.012499999999999956,0.03125,1.0146048109965635,1.0128865979381443,STABLE
Microglia-PVMSubclass,Microglia / immune,256,37,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 7, ""H20.33.001"": 7, ""H20.33.005"": 7, ""H20.33.008"": 7, ""H20.33.011"": 6, ""H20.33.012"": 7, ""H20.33.013"": 7, ""H20.33.015"": 7, ""H20.33.016"": 7, ""H20.33.017"": 6, ""H20.33.018"": 7, ""H20.33.019"": 7, ""H20.33.020"": 7, ""H20.33.026"": 7, ""H20.33.027"": 7, ""H20.33.028"": 7, ""H20.33.029"": 7, ""H20.33.031"": 7, ""H20.33.033"": 7, ""H20.33.035"": 7, ""H20.33.036"": 7, ""H20.33.037"": 7, ""H20.33.039"": 7, ""H20.33.040"": 7, ""H21.33.001"": 7, ""H21.33.002"": 7, ""H21.33.004"": 7, ""H21.33.013"": 7, ""H21.33.018"": 7, ""H21.33.019"": 7, ""H21.33.026"": 7, ""H21.33.028"": 7, ""H21.33.032"": 7, ""H21.33.033"": 7, ""H21.33.035"": 7, ""H21.33.036"": 7, ""H21.33.039"": 6}",1,1,1,1,43289,37,32,32,ADEQUATE,ADEQUATELY PRESERVED,False,0.03320363164721141,0.027237354085603127,0.029571984435797782,0.027237354085603127,1.0349631248292817,1.031139033051079,STABLE
OPC,OPCs,256,18,7,ROBUSTLY IDENTIFIABLE,"{""human_NPH_1025"": 14, ""human_NPH_1031"": 14, ""human_NPH_1055"": 14, ""human_NPH_1069"": 14, ""human_NPH_1075"": 14, ""human_NPH_873"": 14, ""human_NPH_878"": 15, ""human_NPH_881"": 15, ""human_NPH_884"": 15, ""human_NPH_896"": 14, ""human_NPH_898"": 14, ""human_NPH_907"": 14, ""human_NPH_909"": 14, ""human_NPH_910"": 14, ""human_NPH_916"": 15, ""human_NPH_923"": 14, ""human_NPH_944"": 14, ""human_NPH_976"": 14}",1,1,1,1,10013,18,32,18,ADEQUATE,ADEQUATELY PRESERVED,False,-0.0013020833333333703,0.0,-0.0013020833333333703,0.0,0.9986928104575163,0.9986928104575163,STABLE
OPCSubclass,OPCs,256,37,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 7, ""H20.33.001"": 7, ""H20.33.005"": 7, ""H20.33.008"": 7, ""H20.33.011"": 6, ""H20.33.012"": 7, ""H20.33.013"": 7, ""H20.33.015"": 7, ""H20.33.016"": 7, ""H20.33.017"": 6, ""H20.33.018"": 7, ""H20.33.019"": 7, ""H20.33.020"": 7, ""H20.33.026"": 7, ""H20.33.027"": 7, ""H20.33.028"": 7, ""H20.33.029"": 7, ""H20.33.031"": 7, ""H20.33.033"": 7, ""H20.33.035"": 7, ""H20.33.036"": 7, ""H20.33.037"": 7, ""H20.33.039"": 7, ""H20.33.040"": 7, ""H21.33.001"": 7, ""H21.33.002"": 7, ""H21.33.004"": 7, ""H21.33.013"": 7, ""H21.33.018"": 7, ""H21.33.019"": 7, ""H21.33.026"": 7, ""H21.33.028"": 7, ""H21.33.032"": 7, ""H21.33.033"": 7, ""H21.33.035"": 7, ""H21.33.036"": 7, ""H21.33.039"": 6}",1,1,1,1,14374,37,32,22,ADEQUATE,ADEQUATELY PRESERVED,False,-0.0028645833333332815,-0.00390625,-0.003645833333333348,-0.00390625,0.9971309337506521,0.9963484611371936,STABLE
OligodendrocyteSubclass,Oligodendrocytes,256,37,8,ROBUSTLY IDENTIFIABLE,"{""H19.33.004"": 7, ""H20.33.001"": 7, ""H20.33.005"": 7, ""H20.33.008"": 7, ""H20.33.011"": 6, ""H20.33.012"": 7, ""H20.33.013"": 7, ""H20.33.015"": 7, ""H20.33.016"": 7, ""H20.33.017"": 6, ""H20.33.018"": 7, ""H20.33.019"": 7, ""H20.33.020"": 7, ""H20.33.026"": 7, ""H20.33.027"": 7, ""H20.33.028"": 7, ""H20.33.029"": 7, ""H20.33.031"": 7, ""H20.33.033"": 7, ""H20.33.035"": 7, ""H20.33.036"": 7, ""H20.33.037"": 7, ""H20.33.039"": 7, ""H20.33.040"": 7, ""H21.33.001"": 7, ""H21.33.002"": 7, ""H21.33.004"": 7, ""H21.33.013"": 7, ""H21.33.018"": 7, ""H21.33.019"": 7, ""H21.33.026"": 7, ""H21.33.028"": 7, ""H21.33.032"": 7, ""H21.33.033"": 7, ""H21.33.035"": 7, ""H21.33.036"": 7, ""H21.33.039"": 6}",1,1,1,1,55502,37,32,32,ADEQUATE,ADEQUATELY PRESERVED,False,0.04747081712062251,0.011673151750972721,0.04461738002594029,0.011673151750972721,1.0505385252692625,1.0475006904170119,STABLE
