coordinate,delta_r2
0,0.6987619400024414
1,0.6260923147201538
2,0.7053432464599609
3,0.7181400060653687
4,0.6803284883499146
5,0.7217658758163452
6,0.6217995882034302
7,0.6839982867240906
8,0.6790467500686646
9,0.7239765524864197
10,0.6314557790756226
11,0.6650850176811218
12,0.64564049243927
13,0.6606733202934265
14,0.6402256488800049
15,0.6617193818092346
16,0.7165231108665466
17,0.6733956336975098
18,0.6558541059494019
19,0.5855928659439087
20,0.6273107528686523
21,0.6845060586929321
22,0.6913859844207764
23,0.6714980602264404
24,0.5713167786598206
25,0.5158417820930481
26,0.5683643221855164
27,0.6316572427749634
28,0.5236616134643555
29,0.6180720925331116
30,0.6491678953170776
31,0.6181018352508545
32,0.525465726852417
33,0.2431238293647766
34,-0.22610509395599365
35,0.2082948088645935
36,-1.1839818954467773
37,-1.2837505340576172
38,-0.22585618495941162
39,-1.807065725326538
40,-0.672383189201355
41,-1.2122578620910645
42,-1.7131688594818115
43,-2.919572353363037
44,-6.177676200866699
45,-2.485417366027832
46,-7.99365234375
47,-4.7022833824157715
48,-4.054017066955566
49,-3.277029037475586
50,-6.230079174041748
51,-3.210916519165039
52,-6.338738918304443
53,-10.108270645141602
54,-7.4158220291137695
55,-3.9002885818481445
56,-8.502287864685059
57,-11.113543510437012
58,-12.4188814163208
59,-7.496739387512207
60,-4.8140869140625
61,-13.553834915161133
62,-20.75240707397461
63,-13.02438735961914
64,-7.007969856262207
65,-13.45245361328125
66,-9.82642650604248
67,-13.442715644836426
68,-7.757356643676758
69,-8.943059921264648
70,-6.1083526611328125
71,-12.15219497680664
72,-10.355690002441406
73,-14.545628547668457
74,-5.216392517089844
75,-21.0716552734375
76,-8.19835090637207
77,-20.875972747802734
78,-12.027633666992188
79,-12.457917213439941
80,-10.26563835144043
81,-18.40390968322754
82,-10.706175804138184
83,-10.821771621704102
84,-5.13103723526001
85,-14.968926429748535
86,-12.232832908630371
87,-14.431635856628418
88,-11.066964149475098
89,-7.354973793029785
90,-9.840313911437988
91,-18.41180419921875
92,-12.87680435180664
93,-11.671196937561035
94,-15.895410537719727
95,-10.542439460754395
96,-14.071364402770996
97,-14.319418907165527
98,-17.61883544921875
99,-19.16802215576172
100,-10.085023880004883
101,-13.044381141662598
102,-18.298194885253906
103,-9.917181968688965
104,-15.948955535888672
105,-11.16709041595459
106,-14.998899459838867
107,-10.47266960144043
108,-12.602126121520996
109,-16.952608108520508
110,-7.796469688415527
111,-31.247356414794922
112,-21.425609588623047
113,-24.20943832397461
114,-11.656672477722168
115,-17.97530174255371
116,-30.631608963012695
117,-12.921170234680176
118,-12.8289155960083
119,-37.18776321411133
120,-36.8809814453125
121,-17.080455780029297
122,-22.91985321044922
123,-12.574625968933105
124,-8.504146575927734
125,-9.300480842590332
126,-9.947729110717773
127,-16.937461853027344
128,-12.164656639099121
129,-18.67171859741211
130,-23.11675262451172
131,-14.688773155212402
132,-18.59116554260254
133,-11.21201229095459
134,-12.85634708404541
135,-20.089065551757812
136,-30.86672019958496
137,-14.011468887329102
138,-15.626823425292969
139,-11.120558738708496
140,-20.832656860351562
141,-21.940898895263672
142,-34.366031646728516
143,-15.600170135498047
144,-14.270759582519531
145,-17.764102935791016
146,-26.96628761291504
147,-23.340858459472656
148,-7.018911361694336
149,-26.841571807861328
150,-29.955564498901367
151,-21.98442268371582
152,-16.49197006225586
153,-13.441003799438477
154,-22.324764251708984
155,-23.90741539001465
156,-17.015411376953125
157,-22.254297256469727
158,-22.948598861694336
159,-24.142473220825195
