coverage_1_96sigma,coverage_1sigma,diagonalized_nll,family,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,view
1.0,1.0,0.1656929850578308,RANDOM_STRUCTURAL,0.0032937475480139256,4096,-241.54571533203125,35.893836975097656,0.16583657264709473,FULL,0.3114178478717804,3.940637907362543e-05,-0.9996473789215088,0
0.9999634027481079,0.982879638671875,0.25415462255477905,RANDOM_STRUCTURAL,0.15709342062473297,3277,-237.86190795898438,36.761810302734375,0.2542588710784912,P80,0.37322840094566345,0.11818061023950577,0.12338234484195709,0
0.9881957769393921,0.9200805425643921,0.36710280179977417,RANDOM_STRUCTURAL,0.3517923057079315,2458,-232.87745666503906,37.981449127197266,0.36717623472213745,P60,0.46230876445770264,0.282112717628479,0.13023048639297485,0
0.9627685546875,0.8789001703262329,0.5161920189857483,RANDOM_STRUCTURAL,0.6054628491401672,1638,-225.7625274658203,39.81415939331055,0.5162405371665955,P40,0.5872549414634705,0.4921155571937561,0.12991586327552795,0
0.939239501953125,0.8657592535018921,0.6998502016067505,RANDOM_STRUCTURAL,0.90376216173172,819,-214.72486877441406,42.89051818847656,0.6998695731163025,P20,0.7439471483230591,0.7413751482963562,0.11331287026405334,0
1.0,1.0,0.1656929850578308,RANDOM_STRUCTURAL,0.0032937475480139256,4096,-241.54571533203125,35.893836975097656,0.16583657264709473,FULL,0.3114178478717804,3.940637907362543e-05,-0.9996473789215088,1
1.0,0.9835205078125,0.2533337473869324,RANDOM_STRUCTURAL,0.15543930232524872,3277,-237.8563690185547,36.763179779052734,0.253436416387558,P80,0.37405669689178467,0.11559855937957764,0.057982418686151505,1
0.9873046875,0.915631115436554,0.373806357383728,RANDOM_STRUCTURAL,0.3651801645755768,2458,-232.8735809326172,37.982444763183594,0.3738759160041809,P60,0.4690242111682892,0.2831909656524658,0.11044611781835556,1
0.9620300531387329,0.8763793706893921,0.5234943628311157,RANDOM_STRUCTURAL,0.6201490163803101,1638,-225.77224731445312,39.811607360839844,0.5235430598258972,P40,0.594383716583252,0.4948614239692688,0.09996604919433594,1
0.939160168170929,0.863861083984375,0.7056664228439331,RANDOM_STRUCTURAL,0.9153987169265747,819,-214.72267150878906,42.89115905761719,0.7056867480278015,P20,0.7501201629638672,0.7437490820884705,0.09411440044641495,1
1.0,1.0,0.1656929850578308,RANDOM_STRUCTURAL,0.0032937475480139256,4096,-241.54571533203125,35.893836975097656,0.16583657264709473,FULL,0.3114178478717804,3.940637907362543e-05,-0.9996473789215088,2
0.999987781047821,0.9850524663925171,0.24873527884483337,RANDOM_STRUCTURAL,0.1462400257587433,3277,-237.85650634765625,36.763145446777344,0.2488418072462082,P80,0.3693675696849823,0.11061445623636246,0.08047764748334885,2
0.988433837890625,0.922760009765625,0.36308375000953674,RANDOM_STRUCTURAL,0.3437269926071167,2458,-232.87245178222656,37.98273468017578,0.3631536364555359,P60,0.4598162770271301,0.2722605764865875,0.10765767097473145,2
0.9632507562637329,0.880572497844696,0.514216423034668,RANDOM_STRUCTURAL,0.6015326976776123,1638,-225.76609802246094,39.8132209777832,0.5142624378204346,P40,0.5862141847610474,0.486625999212265,0.09648355841636658,2
