condition,factor_index,factor_r2,optimizer_step,representation
REFERENCE,0,0.8351160287857056,,raw_full_expression
REFERENCE,1,0.7682725787162781,,raw_full_expression
REFERENCE,2,0.8143818378448486,,raw_full_expression
REFERENCE,3,0.7949004769325256,,raw_full_expression
REFERENCE,4,0.8380436897277832,,raw_full_expression
REFERENCE,5,0.8175075054168701,,raw_full_expression
REFERENCE,6,0.8396648168563843,,raw_full_expression
REFERENCE,7,0.8605526685714722,,raw_full_expression
REFERENCE,8,0.8335291147232056,,raw_full_expression
REFERENCE,9,0.8119572401046753,,raw_full_expression
REFERENCE,10,0.8209867477416992,,raw_full_expression
REFERENCE,11,0.7954612970352173,,raw_full_expression
REFERENCE,12,0.7342032790184021,,raw_full_expression
REFERENCE,13,0.7362356781959534,,raw_full_expression
REFERENCE,14,0.7571215033531189,,raw_full_expression
REFERENCE,15,0.7921085357666016,,raw_full_expression
REFERENCE,16,0.7871935963630676,,raw_full_expression
REFERENCE,17,0.7735019326210022,,raw_full_expression
REFERENCE,18,0.8091869950294495,,raw_full_expression
REFERENCE,19,0.7673882842063904,,raw_full_expression
REFERENCE,20,0.7293857932090759,,raw_full_expression
REFERENCE,21,0.7173256874084473,,raw_full_expression
REFERENCE,22,0.7901387214660645,,raw_full_expression
REFERENCE,23,0.8084034323692322,,raw_full_expression
REFERENCE,24,0.853906512260437,,raw_full_expression
REFERENCE,25,0.785234808921814,,raw_full_expression
REFERENCE,26,0.7619795203208923,,raw_full_expression
REFERENCE,27,0.769554078578949,,raw_full_expression
REFERENCE,28,0.7636169195175171,,raw_full_expression
REFERENCE,29,0.7889121174812317,,raw_full_expression
REFERENCE,30,0.7967046499252319,,raw_full_expression
REFERENCE,31,0.8295220136642456,,raw_full_expression
REFERENCE,0,0.8455880284309387,,pca160_full
REFERENCE,1,0.6392362713813782,,pca160_full
REFERENCE,2,0.7732747793197632,,pca160_full
REFERENCE,3,0.7601521015167236,,pca160_full
REFERENCE,4,0.7868771553039551,,pca160_full
REFERENCE,5,0.7669562101364136,,pca160_full
REFERENCE,6,0.8057602643966675,,pca160_full
REFERENCE,7,0.8829436898231506,,pca160_full
REFERENCE,8,0.8293732404708862,,pca160_full
REFERENCE,9,0.6393246650695801,,pca160_full
REFERENCE,10,0.7131122350692749,,pca160_full
REFERENCE,11,0.7519314885139465,,pca160_full
REFERENCE,12,0.7553421258926392,,pca160_full
REFERENCE,13,0.74202561378479,,pca160_full
REFERENCE,14,0.7709448933601379,,pca160_full
REFERENCE,15,0.786178469657898,,pca160_full
REFERENCE,16,0.791253924369812,,pca160_full
REFERENCE,17,0.6673856973648071,,pca160_full
REFERENCE,18,0.6650063395500183,,pca160_full
REFERENCE,19,0.7810053825378418,,pca160_full
REFERENCE,20,0.7586413025856018,,pca160_full
REFERENCE,21,0.7715739607810974,,pca160_full
REFERENCE,22,0.811732292175293,,pca160_full
REFERENCE,23,0.8092018365859985,,pca160_full
REFERENCE,24,0.8980807065963745,,pca160_full
REFERENCE,25,0.7056706547737122,,pca160_full
REFERENCE,26,0.7142523527145386,,pca160_full
REFERENCE,27,0.7757679224014282,,pca160_full
REFERENCE,28,0.8189724683761597,,pca160_full
REFERENCE,29,0.7882022857666016,,pca160_full
REFERENCE,30,0.7573010325431824,,pca160_full
REFERENCE,31,0.8034473657608032,,pca160_full
REFERENCE,0,0.8454655408859253,,whitened_pca160_full
REFERENCE,1,0.638943612575531,,whitened_pca160_full
REFERENCE,2,0.7731815576553345,,whitened_pca160_full
REFERENCE,3,0.7601067423820496,,whitened_pca160_full
REFERENCE,4,0.7869652509689331,,whitened_pca160_full
REFERENCE,5,0.7667348384857178,,whitened_pca160_full
REFERENCE,6,0.805740475654602,,whitened_pca160_full
REFERENCE,7,0.8829108476638794,,whitened_pca160_full
REFERENCE,8,0.8291828632354736,,whitened_pca160_full
REFERENCE,9,0.6391621828079224,,whitened_pca160_full
REFERENCE,10,0.7131344079971313,,whitened_pca160_full
REFERENCE,11,0.7520387768745422,,whitened_pca160_full
REFERENCE,12,0.7550912499427795,,whitened_pca160_full
REFERENCE,13,0.7420419454574585,,whitened_pca160_full
REFERENCE,14,0.7710727453231812,,whitened_pca160_full
REFERENCE,15,0.7861412763595581,,whitened_pca160_full
REFERENCE,16,0.7911171913146973,,whitened_pca160_full
REFERENCE,17,0.6668528914451599,,whitened_pca160_full
REFERENCE,18,0.6649652719497681,,whitened_pca160_full
REFERENCE,19,0.781004011631012,,whitened_pca160_full
REFERENCE,20,0.7588107585906982,,whitened_pca160_full
REFERENCE,21,0.7716723084449768,,whitened_pca160_full
REFERENCE,22,0.811851441860199,,whitened_pca160_full
REFERENCE,23,0.8091750741004944,,whitened_pca160_full
REFERENCE,24,0.8980852365493774,,whitened_pca160_full
REFERENCE,25,0.7058641910552979,,whitened_pca160_full
REFERENCE,26,0.7144593000411987,,whitened_pca160_full
REFERENCE,27,0.7755074501037598,,whitened_pca160_full
REFERENCE,28,0.8188236951828003,,whitened_pca160_full
REFERENCE,29,0.7882795929908752,,whitened_pca160_full
REFERENCE,30,0.757194995880127,,whitened_pca160_full
REFERENCE,31,0.8034058213233948,,whitened_pca160_full
REFERENCE,0,0.38771378993988037,,visible_only
REFERENCE,1,0.31053537130355835,,visible_only
REFERENCE,2,0.3309789299964905,,visible_only
REFERENCE,3,0.42170411348342896,,visible_only
REFERENCE,4,0.49126940965652466,,visible_only
REFERENCE,5,0.5186052322387695,,visible_only
REFERENCE,6,0.39515912532806396,,visible_only
REFERENCE,7,0.5773880481719971,,visible_only
REFERENCE,8,0.5441298484802246,,visible_only
REFERENCE,9,0.32339125871658325,,visible_only
REFERENCE,10,0.26978689432144165,,visible_only
REFERENCE,11,0.47756391763687134,,visible_only
REFERENCE,12,0.42382365465164185,,visible_only
REFERENCE,13,0.12671786546707153,,visible_only
REFERENCE,14,0.3444419503211975,,visible_only
REFERENCE,15,0.3009657859802246,,visible_only
REFERENCE,16,0.4722900986671448,,visible_only
REFERENCE,17,0.3151978850364685,,visible_only
REFERENCE,18,0.43701308965682983,,visible_only
REFERENCE,19,0.4136399030685425,,visible_only
REFERENCE,20,0.3498327136039734,,visible_only
REFERENCE,21,0.3447251319885254,,visible_only
REFERENCE,22,0.17016077041625977,,visible_only
REFERENCE,23,0.37324780225753784,,visible_only
REFERENCE,24,0.208001971244812,,visible_only
REFERENCE,25,0.39843177795410156,,visible_only
REFERENCE,26,0.5128260850906372,,visible_only
REFERENCE,27,0.5113945007324219,,visible_only
REFERENCE,28,0.28724974393844604,,visible_only
REFERENCE,29,0.5664991140365601,,visible_only
REFERENCE,30,0.2922214865684509,,visible_only
REFERENCE,31,0.3190252184867859,,visible_only
REFERENCE,0,0.3958668112754822,,linear_completion
REFERENCE,1,0.23599356412887573,,linear_completion
REFERENCE,2,0.3652235269546509,,linear_completion
REFERENCE,3,0.38116830587387085,,linear_completion
REFERENCE,4,0.49435269832611084,,linear_completion
REFERENCE,5,0.48316293954849243,,linear_completion
REFERENCE,6,0.3699212670326233,,linear_completion
REFERENCE,7,0.6091773509979248,,linear_completion
REFERENCE,8,0.5244055986404419,,linear_completion
REFERENCE,9,0.2553327679634094,,linear_completion
REFERENCE,10,0.19704920053482056,,linear_completion
REFERENCE,11,0.49151134490966797,,linear_completion
REFERENCE,12,0.43678969144821167,,linear_completion
REFERENCE,13,0.04610222578048706,,linear_completion
REFERENCE,14,0.27147114276885986,,linear_completion
REFERENCE,15,0.3425305485725403,,linear_completion
REFERENCE,16,0.45121222734451294,,linear_completion
REFERENCE,17,0.36040180921554565,,linear_completion
REFERENCE,18,0.40101349353790283,,linear_completion
REFERENCE,19,0.41935789585113525,,linear_completion
REFERENCE,20,0.32892554998397827,,linear_completion
REFERENCE,21,0.31402069330215454,,linear_completion
REFERENCE,22,0.14591479301452637,,linear_completion
REFERENCE,23,0.3561977744102478,,linear_completion
REFERENCE,24,0.19882863759994507,,linear_completion
REFERENCE,25,0.3182477355003357,,linear_completion
REFERENCE,26,0.5147677063941956,,linear_completion
REFERENCE,27,0.5123646259307861,,linear_completion
REFERENCE,28,0.3055451512336731,,linear_completion
REFERENCE,29,0.5106359720230103,,linear_completion
REFERENCE,30,0.2359997034072876,,linear_completion
REFERENCE,31,0.24209105968475342,,linear_completion
REFERENCE,0,0.8604920506477356,,counterfactual_full_state
REFERENCE,1,0.6924127340316772,,counterfactual_full_state
REFERENCE,2,0.7559202313423157,,counterfactual_full_state
REFERENCE,3,0.7802678346633911,,counterfactual_full_state
REFERENCE,4,0.8106262683868408,,counterfactual_full_state
REFERENCE,5,0.7583165168762207,,counterfactual_full_state
REFERENCE,6,0.8382436037063599,,counterfactual_full_state
REFERENCE,7,0.8648736476898193,,counterfactual_full_state
REFERENCE,8,0.8119692802429199,,counterfactual_full_state
REFERENCE,9,0.702372670173645,,counterfactual_full_state
REFERENCE,10,0.7387210726737976,,counterfactual_full_state
REFERENCE,11,0.7588983774185181,,counterfactual_full_state
REFERENCE,12,0.7584012746810913,,counterfactual_full_state
REFERENCE,13,0.7034803628921509,,counterfactual_full_state
REFERENCE,14,0.716385006904602,,counterfactual_full_state
REFERENCE,15,0.7791914939880371,,counterfactual_full_state
REFERENCE,16,0.7996833324432373,,counterfactual_full_state
REFERENCE,17,0.6953648328781128,,counterfactual_full_state
REFERENCE,18,0.6832423210144043,,counterfactual_full_state
REFERENCE,19,0.788231611251831,,counterfactual_full_state
REFERENCE,20,0.7658653855323792,,counterfactual_full_state
REFERENCE,21,0.7312357425689697,,counterfactual_full_state
REFERENCE,22,0.7846550941467285,,counterfactual_full_state
REFERENCE,23,0.819624662399292,,counterfactual_full_state
REFERENCE,24,0.8996875882148743,,counterfactual_full_state
REFERENCE,25,0.7503648400306702,,counterfactual_full_state
REFERENCE,26,0.7580311894416809,,counterfactual_full_state
REFERENCE,27,0.7639657258987427,,counterfactual_full_state
REFERENCE,28,0.8079417943954468,,counterfactual_full_state
REFERENCE,29,0.7761385440826416,,counterfactual_full_state
REFERENCE,30,0.6987572908401489,,counterfactual_full_state
REFERENCE,31,0.8122346997261047,,counterfactual_full_state
RLC_BASE,0,0.10373151302337646,0,completed_state
RLC_BASE,1,-0.35600006580352783,0,completed_state
RLC_BASE,2,-0.2855043411254883,0,completed_state
RLC_BASE,3,0.006027162075042725,0,completed_state
RLC_BASE,4,-0.11238276958465576,0,completed_state
RLC_BASE,5,-0.2664843797683716,0,completed_state
RLC_BASE,6,-0.21940529346466064,0,completed_state
RLC_BASE,7,-0.5514323711395264,0,completed_state
RLC_BASE,8,0.14575517177581787,0,completed_state
RLC_BASE,9,0.18794995546340942,0,completed_state
RLC_BASE,10,-0.38015711307525635,0,completed_state
RLC_BASE,11,-0.05280876159667969,0,completed_state
RLC_BASE,12,-0.08824479579925537,0,completed_state
RLC_BASE,13,-0.15184998512268066,0,completed_state
RLC_BASE,14,-0.4476337432861328,0,completed_state
RLC_BASE,15,-0.6509953737258911,0,completed_state
RLC_BASE,16,-0.04633760452270508,0,completed_state
RLC_BASE,17,-0.31997597217559814,0,completed_state
RLC_BASE,18,-0.15999233722686768,0,completed_state
RLC_BASE,19,-0.41853606700897217,0,completed_state
RLC_BASE,20,-0.4072788953781128,0,completed_state
RLC_BASE,21,-0.0011612176895141602,0,completed_state
RLC_BASE,22,-0.06946587562561035,0,completed_state
RLC_BASE,23,-0.3346008062362671,0,completed_state
RLC_BASE,24,-0.29826176166534424,0,completed_state
RLC_BASE,25,-0.40368425846099854,0,completed_state
RLC_BASE,26,-0.0482863187789917,0,completed_state
RLC_BASE,27,0.17527425289154053,0,completed_state
RLC_BASE,28,-0.017714619636535645,0,completed_state
RLC_BASE,29,-0.15155625343322754,0,completed_state
RLC_BASE,30,-0.40770435333251953,0,completed_state
RLC_BASE,31,-0.35604941844940186,0,completed_state
RLC_BASE,0,0.3285134434700012,25,completed_state
RLC_BASE,1,0.06123405694961548,25,completed_state
RLC_BASE,2,-0.09504234790802002,25,completed_state
RLC_BASE,3,0.12919139862060547,25,completed_state
RLC_BASE,4,0.02227652072906494,25,completed_state
RLC_BASE,5,0.2259041666984558,25,completed_state
