status,fixture,operator,support_fraction,depth,factor,factor_family,raw_panel_r2,learned_h_r2,h_minus_raw_panel_r2,classification
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,broad_00,broad,0.849952050723443,0.843202330483714,-0.0067497202397290845,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,broad_01,broad,0.7726337402989105,0.7598574725437459,-0.012776267755164605,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,broad_02,broad,0.8993907520136221,0.8876636445284257,-0.011727107485196342,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,broad_03,broad,0.7785108177396325,0.7585847039504594,-0.019926113789173083,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,subtype_04,subtype,0.9038219923990322,0.8963297875923127,-0.007492204806719416,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,subtype_05,subtype,0.8710260862669059,0.8629615730542903,-0.008064513212615587,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,subtype_06,subtype,0.8589687275070619,0.848167544276361,-0.010801183230700895,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,subtype_07,subtype,0.91396574820081,0.9042622122127241,-0.009703535988085932,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,state_08,state,0.8637209966858019,0.8550127510060755,-0.00870824567972639,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,state_09,state,0.7650341985821834,0.7511601030723856,-0.01387409550979779,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,state_10,state,0.885523497810732,0.8759385707427775,-0.009584927067954552,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,state_11,state,0.8427367795745677,0.8309449029258604,-0.011791876648707289,MEASUREMENT-AWARE TRANSFER SUPPORTED
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,O_A_high_support_high_depth,0.95,12000,fine_12,fine,0.8836282556746692,0.8761169106067925,-0.007511345067876651,MEASUREMENT-AWARE TRANSFER SUPPORTED
