status,role,regional_operator,regional_cells,immune_cells,exact_cell_id_overlap,donor_overlap,donor_overlap_is_duplicate_cell_evidence
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_ang_rna_final_2026,255953,240651,10279,43,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_caudate_rna_all_2025,945918,240651,0,43,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_fi_rna_final_2026,259108,240651,17445,41,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_hip_rna_final_2026,208843,240651,14190,40,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_itg_rna_final_2026,412674,240651,16111,43,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_lec_rna_final_2026,182260,240651,11791,34,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_mec_rna_final_2026,970118,240651,63137,81,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_mtg_rna_final_2026,1178694,240651,36686,84,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_pfc_a9_rna_final_2026,1357145,240651,41553,80,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_stg_rna_final_2026,545215,240651,15214,43,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,sea_ad_v1c_rna_final_2026,643336,240651,14245,43,False
