status,role,donor_id,frozen_foundation_split,present_in_any_of_11_regional_objects,donor_overlap_is_duplicate_cell_evidence
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H19.33.004,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.001,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.002,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.004,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.005,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.008,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.011,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.012,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.013,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.014,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.015,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.016,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.017,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.018,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.019,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.020,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.024,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.025,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.026,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.027,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.028,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.029,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.030,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.031,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.032,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.033,train,True,False
