status,fixture,uncertainty,level,median_distance,mean_distance
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_BIO,0.2,0.01048014685511589,0.010711608454585075
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_BIO,0.4,0.007341313175857067,0.007399358786642551
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_BIO,0.6,0.005501993931829929,0.005543640814721584
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_BIO,0.8,0.0029594786465168,0.0029852990992367268
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_BIO,1.0,0.0,0.0
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_MEAS,0.25,0.18439540266990662,0.18529638648033142
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_MEAS,0.5,0.15334898233413696,0.1549227088689804
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_MEAS,0.75,0.1388605684041977,0.14082899689674377
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,U_MEAS,1.0,0.13100634515285492,0.13298684358596802
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_BIO,0.2,0.011958351358771324,0.01206155400723219
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_BIO,0.4,0.009477601386606693,0.009516458958387375
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_BIO,0.6,0.006035562604665756,0.0060706911608576775
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_BIO,0.8,0.0037170180585235357,0.003740959567949176
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_BIO,1.0,0.0,0.0
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_MEAS,0.25,0.185118168592453,0.1853105127811432
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_MEAS,0.5,0.15416687726974487,0.15505541861057281
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_MEAS,0.75,0.14079038798809052,0.1412389725446701
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,partial_correlation,U_MEAS,1.0,0.1328808069229126,0.13348007202148438
