iteration_dir,member_files,total_bytes,content_root_sha256
td_iteration15_operator_generalization,5,46352,9f01ac38b84f5a4ada97649fca7b84eb31b3715ce8a12c0045ebc91f6c6c7f6b
td_iteration16_claude_memo_attacks,5,6678,35f89ae843af8417b7a921bdf3b8884235ac66413061024d89092629185f7d87
td_iteration17_relational_geometry,7,5216,b692d0ce1d1127d063e4c475edca73b6f15c6453721d83692bbdb78603c6fb0f
td_iteration18_three_source_scaffold,6,8375,5807a97100f3937cdb71b510eb30aa776136ebe84826a3a28f611c513b35e345
td_iteration19_claude_followup,7,6504,f3a7afc83738a700485980bc5849cf8f40f2b604f597df4879560f84efc8b6e0
td_iteration20_seaad_label_free,4,10134,1e2e2e3c788bc76a99d85a7a9d16e21f2e245c879387047283b84657d0a45d3e
td_iteration20b_seaad_within_broad,2,13000,0dfc2745bb15f9083cda4c250ac2d43f8f07bdb9dc9a088d71119de2eba8a2a0
td_iteration21_composition_attack,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
td_iteration21_taxonomy_explanation,3,7867,4a3707b5274e2038ebe679969ba34ef17b98570e6902ad4087318f1fb0cae844
td_iteration21b_native_residual,3,4133,a2650e0dd76594ee5ea01a074c8d730e797cea5fa709df5d90b3edd9dcf5a67b
td_iteration22_technology_holdout,4,4377,f3fff4931c7360526b00d94908bcc9ae7756c4b4a601918d7e8c18ca61f68f49
td_iteration23_cross_source_leverage,4,4686,12a3e144167b654069b57c7b03b0ad2e3a5f3a2ceaf636c0362b0695c5f293b4
td_iteration24_source_conditional_subspace,4,8693,940e5b25bc2045891159859265df2935feb37f0b758194babcd5bc4a87f8c25c
td_iteration25_donor_geometry,4,40565,86f0de7ff3a55e4e334b7ff6018fa3d615fee7849b56ea91871470fb6dc3f7a1
td_iteration26_operator_leaf_stability,4,6909,7594b51da07558a36a597d364a3ca249091f451946b1b59cfcc8db6ce94ca16a
td_iteration26b_operator_leaf_cellsplit,4,8251,c224df4e95c475eaeabece705fa9a838292eb1e91c07b2f6a2bf5c30577c895c
td_iteration27_measurement_curve,3,5021,ac4b9175aeb8a7ffed1e6eff58a010c833fc5153c3a1b1a3ec6ae51a1cd0baa8
