source,pair,rank,n,median_difference,positive_fraction,p25_difference
HVS,L2/3 IT__VS__L4 IT,2,16,-5.307288427048326e-05,0.5,-0.004742590197052605
HVS,L2/3 IT__VS__L4 IT,4,16,0.012902334052028555,0.9375,0.008204670254354373
HVS,L2/3 IT__VS__Oligodendrocyte,2,16,0.08672133103767574,0.9375,0.016100645795597404
HVS,L2/3 IT__VS__Oligodendrocyte,4,16,0.1113228377704788,1.0,0.0830561308479588
NPH52,ExN__VS__Astro,2,16,0.004960291608872941,0.6875,-0.001805707365873981
NPH52,ExN__VS__Astro,4,16,0.018360025307221715,0.875,0.01218861802444861
NPH52,ExN__VS__Oligo,2,16,0.1978208183691394,1.0,0.09506937529504032
NPH52,ExN__VS__Oligo,4,16,0.10971906757629832,1.0,0.09032279070773602
SEA_AD,L2/3 IT__VS__Astrocyte,2,16,0.007262808386942953,0.6875,-0.00021990089627859115
SEA_AD,L2/3 IT__VS__Astrocyte,4,16,0.02446923495222093,1.0,0.01655386856485842
SEA_AD,L2/3 IT__VS__L4 IT,2,16,0.01727858316312718,0.875,0.00936443769672923
SEA_AD,L2/3 IT__VS__L4 IT,4,16,0.04095801891702855,0.9375,0.01983447354966192
