panel,pair,genes_remaining,fraction_removed,pearson,spearman,null_p95_pear,exact_rank_pear,exact_rank_spear
0,HVS_VS_NPH52,805,0.5783132530120482,0.8519370228028318,0.6484848484848483,0.6813527193493899,2,8
0,HVS_VS_SEA_AD,805,0.5783132530120482,0.9165741116558445,0.8909090909090909,0.4894567971345291,1,2
0,NPH52_VS_SEA_AD,805,0.5783132530120482,0.8208099461037228,0.8545454545454544,0.5266978568142474,2,1
1,HVS_VS_NPH52,791,0.5821447437929212,0.9794056505909732,0.8424242424242423,0.6184377356981539,2,2
1,HVS_VS_SEA_AD,791,0.5821447437929212,0.922427719860437,0.9272727272727272,0.41016381802317137,2,2
1,NPH52_VS_SEA_AD,791,0.5821447437929212,0.9240454338354352,0.8666666666666665,0.3956690529498276,1,1
2,HVS_VS_NPH52,809,0.5753280839895013,0.9374656352199008,0.7454545454545454,0.7460693258073288,1,1
2,HVS_VS_SEA_AD,809,0.5753280839895013,0.8896696245889821,0.8909090909090909,0.4246246365137867,2,2
2,NPH52_VS_SEA_AD,809,0.5753280839895013,0.7992207202792633,0.6363636363636362,0.5062733972410658,4,6
3,HVS_VS_NPH52,833,0.567047817047817,0.9233797538511238,0.7696969696969697,0.6924078247354698,2,3
3,HVS_VS_SEA_AD,833,0.567047817047817,0.9375246176874827,0.9151515151515152,0.4813018516924542,1,1
3,NPH52_VS_SEA_AD,833,0.567047817047817,0.8283429227770371,0.8303030303030302,0.5534915626857106,4,3
