source,panel,half,obs_precision,coverage,null_median,null_p95,pass_half
HVS,0,1,0.9895172862982258,0.6845130631496239,0.8933171109934934,0.8942408558143095,True
HVS,0,2,0.9896567480135047,0.6847815747805099,0.8924752010278079,0.8932936248396269,True
HVS,1,1,0.988059929541832,0.6697337251486218,0.8731736339799868,0.8741728462305716,True
HVS,1,2,0.9880493460755208,0.6670761493972505,0.8740089409589158,0.8748477088756824,True
HVS,2,1,0.9895740419162092,0.6717430868186817,0.8815706779693356,0.882470930858091,True
HVS,2,2,0.9893120947877346,0.6692980467926832,0.8828781381523498,0.8836410527670855,True
HVS,3,1,0.9900775083947998,0.6896669182501151,0.9032890431904381,0.903939933564153,True
HVS,3,2,0.9897034500581486,0.6894458693991607,0.9031803718351958,0.9038777213066546,True
NPH52,0,1,0.9910603724755473,0.6761751802035085,0.8830360110637611,0.8838306738202233,True
NPH52,0,2,0.9913609253876269,0.6636544605889376,0.8825928555609779,0.8837560097231478,True
NPH52,1,1,0.9901889850384975,0.6551826448960343,0.8604159153787039,0.861780303195753,True
NPH52,1,2,0.9899138353415243,0.6602950098059842,0.8592750558184425,0.8609266663802764,True
NPH52,2,1,0.9910665107005189,0.6511161436619985,0.862635244599857,0.8644510251320296,True
NPH52,2,2,0.9912129770038804,0.6548892174187355,0.8627718631885654,0.8647542845812248,True
NPH52,3,1,0.9916595454954108,0.6520208640906323,0.872535074184842,0.8743005855406442,True
NPH52,3,2,0.9917970540000598,0.6560811067119972,0.8711393378843435,0.8727122830198081,True
SEA_AD,0,1,0.9945698184133266,0.6978135239936362,0.8990154877262266,0.8997865485668781,True
SEA_AD,0,2,0.994599114476852,0.6975157487666723,0.8992070374945225,0.9001964634856838,True
SEA_AD,1,1,0.9949893445607662,0.6963280408485327,0.9087317865135367,0.9093638410905127,True
SEA_AD,1,2,0.9949179023809824,0.6965778898223803,0.9079019956782108,0.9087723298363006,True
SEA_AD,2,1,0.992583472788673,0.7066069153792816,0.8941152044966918,0.8946814320064653,True
SEA_AD,2,2,0.9926549183213677,0.7064918685034877,0.8936969923727295,0.8945499707356673,True
SEA_AD,3,1,0.9932841389789554,0.6965513053885694,0.8924353663180226,0.8930714957444955,True
SEA_AD,3,2,0.9931928767223761,0.6957200513387296,0.8919352878725576,0.8925694279618702,True
