collision_class,key,multiplicity,members,symbols,resolution,note
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000002586,2,ENSG00000002586.19|ENSG00000002586.19_PAR_Y,CD99,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000124333,2,ENSG00000124333.15|ENSG00000124333.15_PAR_Y,VAMP7,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000124334,2,ENSG00000124334.17|ENSG00000124334.17_PAR_Y,IL9R,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000167393,2,ENSG00000167393.17|ENSG00000167393.17_PAR_Y,PPP2R3B,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000168939,2,ENSG00000168939.11|ENSG00000168939.11_PAR_Y,SPRY3,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000169084,2,ENSG00000169084.13|ENSG00000169084.13_PAR_Y,DHRSX,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000169093,2,ENSG00000169093.15|ENSG00000169093.15_PAR_Y,ASMTL,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000169100,2,ENSG00000169100.13|ENSG00000169100.13_PAR_Y,SLC25A6,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000178605,2,ENSG00000178605.13|ENSG00000178605.13_PAR_Y,GTPBP6,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000182162,2,ENSG00000182162.10|ENSG00000182162.10_PAR_Y,P2RY8,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000182378,2,ENSG00000182378.13|ENSG00000182378.13_PAR_Y,PLCXD1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000182484,2,ENSG00000182484.15|ENSG00000182484.15_PAR_Y,WASH6P,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000185203,2,ENSG00000185203.12|ENSG00000185203.12_PAR_Y,WASIR1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000185291,2,ENSG00000185291.11|ENSG00000185291.11_PAR_Y,IL3RA,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000185960,2,ENSG00000185960.14|ENSG00000185960.14_PAR_Y,SHOX,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000196433,2,ENSG00000196433.12|ENSG00000196433.12_PAR_Y,ASMT,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000197976,2,ENSG00000197976.11|ENSG00000197976.11_PAR_Y,AKAP17A,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000198223,2,ENSG00000198223.16|ENSG00000198223.16_PAR_Y,CSF2RA,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000205755,2,ENSG00000205755.11|ENSG00000205755.11_PAR_Y,CRLF2,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000214717,2,ENSG00000214717.11|ENSG00000214717.11_PAR_Y,ZBED1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000223274,2,ENSG00000223274.6|ENSG00000223274.6_PAR_Y,RNA5SP498,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000223484,2,ENSG00000223484.7|ENSG00000223484.7_PAR_Y,TRPC6P,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000223511,2,ENSG00000223511.7|ENSG00000223511.7_PAR_Y,AL683807.1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000223571,2,ENSG00000223571.6|ENSG00000223571.6_PAR_Y,DHRSX-IT1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000223773,2,ENSG00000223773.7|ENSG00000223773.7_PAR_Y,CD99P1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000225661,2,ENSG00000225661.7|ENSG00000225661.7_PAR_Y,RPL14P5,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000226179,2,ENSG00000226179.6|ENSG00000226179.6_PAR_Y,LINC00685,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000227159,2,ENSG00000227159.8|ENSG00000227159.8_PAR_Y,DDX11L16,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000228410,2,ENSG00000228410.6|ENSG00000228410.6_PAR_Y,ELOCP24,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000228572,2,ENSG00000228572.7|ENSG00000228572.7_PAR_Y,AL954722.1,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000229232,2,ENSG00000229232.6|ENSG00000229232.6_PAR_Y,KRT18P53,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
duplicate_unversioned_ensembl_id_within_gse174367,ENSG00000230542,2,ENSG00000230542.6|ENSG00000230542.6_PAR_Y,LINC00102,RETAINED_UNRESOLVED,all such groups are PAR_Y pairs; see par_y class
