source,downloaded_or_manifest_only,cell_metadata_available,donor_id_available,cell_type_available,subclass_available,region_available,expression_available,automatic_feature_build_possible,required_manual_step,notes
https://sea-ad-single-cell-profiling.s3.amazonaws.com/Multiregion_2026/subclass_objects/SEAAD_Immune_HIP_MEC_LEC_ITG_MTG_FI_STG_DFC_AnG_V1C_RNAseq_final-nuclei.2026-06-22.h5ad,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://sea-ad-single-cell-profiling.s3.amazonaws.com/index.html#Multiregion_2026/previous_objects/,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://brain-map.org/consortia/sea-ad/our-resources#singleNucleus,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://celltypes.brain-map.org/rnaseq/Human-MTG-10x_SEA-AD?selectedVisualization=Heatmap&colorByFeature=Cell+Type&colorByFeatureValue=GAD1,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/collections,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/datasets,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/gene-expression,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/cellguide,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/differential-expression,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://chanzuckerberg.github.io/cellxgene-census/,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
https://cellxgene.cziscience.com/census-models,manifest_only,False,False,False,False,False,False,False,Use CELLxGENE/Census or portal export to acquire donor-cell metadata under size/provenance controls.,Do not use expression for model selection; build donor summaries only after linkage audit.
