full_union_calibration_semantics,intersection,mismatched_cell_median_J,pair,panel_a_median_trace,panel_a_size,panel_b_median_trace,panel_b_size,same_below_mismatch_median_fraction,same_cell_compatibility_pass,same_cell_median_J,union,union_coordinate_reduction_fraction,union_median_trace,union_reduction_pass,variant
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.5153597593307495,0,37.9735221862793,2458,37.96955490112305,2458,0.974609375,True,0.8019697070121765,4096,1.0,35.88251495361328,True,RAW
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,3.8438549041748047,0,14.970270156860352,2458,14.968706130981445,2458,0.974609375,True,2.0342729091644287,4096,0.0,35.88251495361328,False,HISTORICAL_TOTAL_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.7053277492523193,0,34.99970245361328,2458,34.996742248535156,2458,0.984375,True,0.8539578318595886,4096,0.643750011920929,35.88251495361328,False,CONDITIONAL_ONLY_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.5096766948699951,1,37.972652435302734,2458,37.97327423095703,2458,0.978515625,True,0.7905139327049255,4096,1.0,35.88251495361328,True,RAW
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,3.829439640045166,1,14.969925880432129,2458,14.970170974731445,2458,0.978515625,True,2.005214214324951,4096,0.0,35.88251495361328,False,HISTORICAL_TOTAL_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.6975562572479248,1,34.99905776977539,2458,34.99951934814453,2458,0.9873046875,True,0.842910647392273,4096,0.643750011920929,35.88251495361328,False,CONDITIONAL_ONLY_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.5196155309677124,2,37.9741096496582,2458,37.9727783203125,2458,0.9716796875,True,0.8084136843681335,4096,1.0,35.88251495361328,True,RAW
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,3.8546504974365234,2,14.970499992370605,2458,14.969976425170898,2458,0.9716796875,True,2.050618886947632,4096,0.0,35.88251495361328,False,HISTORICAL_TOTAL_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.711273193359375,2,35.00014114379883,2458,34.999149322509766,2458,0.9814453125,True,0.8621827960014343,4096,0.643750011920929,35.88251495361328,False,CONDITIONAL_ONLY_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.5035591125488281,3,37.972721099853516,2458,37.972877502441406,2458,0.9765625,True,0.8020681142807007,4096,1.0,35.88251495361328,True,RAW
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,3.8139216899871826,3,14.969951629638672,2458,14.970016479492188,2458,0.9765625,True,2.034522771835327,4096,0.0,35.88251495361328,False,HISTORICAL_TOTAL_SCALAR
FULL union remains raw scale 1; structural component panels use the named regime scalar,820,1.6951920986175537,3,34.99910354614258,2458,34.99921798706055,2458,0.9873046875,True,0.8557535409927368,4096,0.643750011920929,35.88251495361328,False,CONDITIONAL_ONLY_SCALAR
